Acervicorn_1	GASU01000001.1
Acervicorn_2	GASU01000002.1
Acervicorn_3	GASU01000003.1
Acervicorn_4	GASU01000004.1
Acervicorn_5	GASU01000005.1
Acervicorn_6	GASU01000006.1
Acervicorn_7	GASU01000007.1
Acervicorn_8	GASU01000008.1
Acervicorn_9	GASU01000009.1
Acervicorn_10	GASU01000010.1
Acervicorn_11	GASU01000011.1
Acervicorn_12	GASU01000012.1
Acervicorn_13	GASU01000013.1
Acervicorn_14	GASU01000014.1
Acervicorn_15	GASU01000015.1
Acervicorn_16	GASU01000016.1
Acervicorn_17	GASU01000017.1
Acervicorn_18	GASU01000018.1
Acervicorn_19	GASU01000019.1
Acervicorn_20	GASU01000020.1
Acervicorn_21	GASU01000021.1
Acervicorn_22	GASU01000022.1
Acervicorn_23	GASU01000023.1
Acervicorn_24	GASU01000024.1
Acervicorn_25	GASU01000025.1
Acervicorn_26	GASU01000026.1
Acervicorn_27	GASU01000027.1
Acervicorn_28	GASU01000028.1
Acervicorn_29	GASU01000029.1
Acervicorn_30	GASU01000030.1
Acervicorn_31	GASU01000031.1
Acervicorn_32	GASU01000032.1
Acervicorn_33	GASU01000033.1
Acervicorn_34	GASU01000034.1
Acervicorn_35	GASU01000035.1
Acervicorn_36	GASU01000036.1
Acervicorn_37	GASU01000037.1
Acervicorn_38	GASU01000038.1
Acervicorn_39	GASU01000039.1
Acervicorn_40	GASU01000040.1
Acervicorn_41	GASU01000041.1
Acervicorn_42	GASU01000042.1
Acervicorn_43	GASU01000043.1
Acervicorn_44	GASU01000044.1
Acervicorn_45	GASU01000045.1
Acervicorn_46	GASU01000046.1
Acervicorn_47	GASU01000047.1
Acervicorn_48	GASU01000048.1
Acervicorn_49	GASU01000049.1
Acervicorn_50	GASU01000050.1
Acervicorn_51	GASU01000051.1
Acervicorn_52	GASU01000052.1
Acervicorn_53	GASU01000053.1
Acervicorn_54	GASU01000054.1
Acervicorn_55	GASU01000055.1
Acervicorn_56	GASU01000056.1
Acervicorn_57	GASU01000057.1
Acervicorn_58	GASU01000058.1
Acervicorn_59	GASU01000059.1
Acervicorn_60	GASU01000060.1
Acervicorn_61	GASU01000061.1
Acervicorn_62	GASU01000062.1
Acervicorn_63	GASU01000063.1
Acervicorn_64	GASU01000064.1
Acervicorn_65	GASU01000065.1
Acervicorn_66	GASU01000066.1
Acervicorn_67	GASU01000067.1
Acervicorn_68	GASU01000068.1
Acervicorn_69	GASU01000069.1
Acervicorn_70	GASU01000070.1
Acervicorn_71	GASU01000071.1
Acervicorn_72	GASU01000072.1
Acervicorn_73	GASU01000073.1
Acervicorn_74	GASU01000074.1
Acervicorn_75	GASU01000075.1
Acervicorn_76	GASU01000076.1
Acervicorn_77	GASU01000077.1
Acervicorn_78	GASU01000078.1
Acervicorn_79	GASU01000079.1
Acervicorn_80	GASU01000080.1
Acervicorn_81	GASU01000081.1
Acervicorn_82	GASU01000082.1
Acervicorn_83	GASU01000083.1
Acervicorn_84	GASU01000084.1
Acervicorn_85	GASU01000085.1
Acervicorn_86	GASU01000086.1
Acervicorn_87	GASU01000087.1
Acervicorn_88	GASU01000088.1
Acervicorn_89	GASU01000089.1
Acervicorn_90	GASU01000090.1
Acervicorn_91	GASU01000091.1
Acervicorn_92	GASU01000092.1
Acervicorn_93	GASU01000093.1
Acervicorn_94	GASU01000094.1
Acervicorn_95	GASU01000095.1
Acervicorn_96	GASU01000096.1
Acervicorn_97	GASU01000097.1
Acervicorn_98	GASU01000098.1
Acervicorn_99	GASU01000099.1
Acervicorn_100	GASU01000100.1
Acervicorn_101	GASU01000101.1
Acervicorn_102	GASU01000102.1
Acervicorn_103	GASU01000103.1
Acervicorn_104	GASU01000104.1
Acervicorn_105	GASU01000105.1
Acervicorn_106	GASU01000106.1
Acervicorn_107	GASU01000107.1
Acervicorn_108	GASU01000108.1
Acervicorn_109	GASU01000109.1
Acervicorn_110	GASU01000110.1
Acervicorn_111	GASU01000111.1
Acervicorn_112	GASU01000112.1
Acervicorn_113	GASU01000113.1
Acervicorn_114	GASU01000114.1
Acervicorn_115	GASU01000115.1
Acervicorn_116	GASU01000116.1
Acervicorn_117	GASU01000117.1
Acervicorn_118	GASU01000118.1
Acervicorn_119	GASU01000119.1
Acervicorn_120	GASU01000120.1
Acervicorn_121	GASU01000121.1
Acervicorn_122	GASU01000122.1
Acervicorn_123	GASU01000123.1
Acervicorn_124	GASU01000124.1
Acervicorn_125	GASU01000125.1
Acervicorn_126	GASU01000126.1
Acervicorn_127	GASU01000127.1
Acervicorn_128	GASU01000128.1
Acervicorn_129	GASU01000129.1
Acervicorn_130	GASU01000130.1
Acervicorn_131	GASU01000131.1
Acervicorn_132	GASU01000132.1
Acervicorn_133	GASU01000133.1
Acervicorn_134	GASU01000134.1
Acervicorn_135	GASU01000135.1
Acervicorn_136	GASU01000136.1
Acervicorn_137	GASU01000137.1
Acervicorn_138	GASU01000138.1
Acervicorn_139	GASU01000139.1
Acervicorn_140	GASU01000140.1
Acervicorn_141	GASU01000141.1
Acervicorn_142	GASU01000142.1
