Ahyacinthu_1	contig27
Ahyacinthu_2	contig88
Ahyacinthu_3	contig100
Ahyacinthu_4	contig211
Ahyacinthu_5	contig405
Ahyacinthu_6	contig443
Ahyacinthu_7	contig470
Ahyacinthu_8	contig503
Ahyacinthu_9	contig583
Ahyacinthu_10	contig590
Ahyacinthu_11	contig613
Ahyacinthu_12	contig619
Ahyacinthu_13	contig634
Ahyacinthu_14	contig707
Ahyacinthu_15	contig799
Ahyacinthu_16	contig896
Ahyacinthu_17	contig950
Ahyacinthu_18	contig954
Ahyacinthu_19	contig962
Ahyacinthu_20	contig1077
Ahyacinthu_21	contig1100
Ahyacinthu_22	contig1129
Ahyacinthu_23	contig1180
Ahyacinthu_24	contig1192
Ahyacinthu_25	contig1206
Ahyacinthu_26	contig1210
Ahyacinthu_27	contig1214
Ahyacinthu_28	contig1233
Ahyacinthu_29	contig1246
Ahyacinthu_30	contig1248
Ahyacinthu_31	contig1296
Ahyacinthu_32	contig1327
Ahyacinthu_33	contig1359
Ahyacinthu_34	contig1386
Ahyacinthu_35	contig1415
Ahyacinthu_36	contig1422
Ahyacinthu_37	contig1446
Ahyacinthu_38	contig1533
Ahyacinthu_39	contig1538
Ahyacinthu_40	contig1586
Ahyacinthu_41	contig1602
Ahyacinthu_42	contig1621
Ahyacinthu_43	contig1690
Ahyacinthu_44	contig1732
Ahyacinthu_45	contig1762
Ahyacinthu_46	contig1771
Ahyacinthu_47	contig1792
Ahyacinthu_48	contig1796
Ahyacinthu_49	contig1805
Ahyacinthu_50	contig1886
Ahyacinthu_51	contig1978
Ahyacinthu_52	contig1985
Ahyacinthu_53	contig2052
Ahyacinthu_54	contig2134
Ahyacinthu_55	contig2202
Ahyacinthu_56	contig2212
Ahyacinthu_57	contig2238
Ahyacinthu_58	contig2251
Ahyacinthu_59	contig2253
Ahyacinthu_60	contig2260
Ahyacinthu_61	contig2275
Ahyacinthu_62	contig2342
Ahyacinthu_63	contig2347
Ahyacinthu_64	contig2372
Ahyacinthu_65	contig2430
Ahyacinthu_66	contig2464
Ahyacinthu_67	contig2467
Ahyacinthu_68	contig2569
Ahyacinthu_69	contig2581
Ahyacinthu_70	contig2604
Ahyacinthu_71	contig2624
Ahyacinthu_72	contig2636
Ahyacinthu_73	contig2654
Ahyacinthu_74	contig2673
Ahyacinthu_75	contig2701
Ahyacinthu_76	contig2717
Ahyacinthu_77	contig2728
Ahyacinthu_78	contig2730
Ahyacinthu_79	contig2740
Ahyacinthu_80	contig2790
Ahyacinthu_81	contig2807
Ahyacinthu_82	contig2812
Ahyacinthu_83	contig2813
Ahyacinthu_84	contig2815
Ahyacinthu_85	contig2833
Ahyacinthu_86	contig2886
Ahyacinthu_87	contig2888
Ahyacinthu_88	contig2932
Ahyacinthu_89	contig2940
Ahyacinthu_90	contig2960
Ahyacinthu_91	contig2964
Ahyacinthu_92	contig3001
Ahyacinthu_93	contig3024
Ahyacinthu_94	contig3045
Ahyacinthu_95	contig3060
Ahyacinthu_96	contig3144
Ahyacinthu_97	contig3151
Ahyacinthu_98	contig3161
Ahyacinthu_99	contig3173
Ahyacinthu_100	contig3220
Ahyacinthu_101	contig3260
Ahyacinthu_102	contig3296
Ahyacinthu_103	contig3312
Ahyacinthu_104	contig3365
Ahyacinthu_105	contig3372
Ahyacinthu_106	contig3426
Ahyacinthu_107	contig3437
Ahyacinthu_108	contig3438
Ahyacinthu_109	contig3457
Ahyacinthu_110	contig3481
Ahyacinthu_111	contig3555
Ahyacinthu_112	contig3582
Ahyacinthu_113	contig3619
Ahyacinthu_114	contig3633
Ahyacinthu_115	contig3648
Ahyacinthu_116	contig3654
Ahyacinthu_117	contig3658
Ahyacinthu_118	contig3660
Ahyacinthu_119	contig3746
Ahyacinthu_120	contig3793
Ahyacinthu_121	contig3807
Ahyacinthu_122	contig3849
Ahyacinthu_123	contig3916
Ahyacinthu_124	contig4031
Ahyacinthu_125	contig4045
Ahyacinthu_126	contig4051
Ahyacinthu_127	contig4067
Ahyacinthu_128	contig4072
Ahyacinthu_129	contig4079
Ahyacinthu_130	contig4092
Ahyacinthu_131	contig4137
Ahyacinthu_132	contig4141
Ahyacinthu_133	contig4169
Ahyacinthu_134	contig4175
Ahyacinthu_135	contig4206
Ahyacinthu_136	contig4219
Ahyacinthu_137	contig4229
Ahyacinthu_138	contig4235
Ahyacinthu_139	contig4241
Ahyacinthu_140	contig4252
Ahyacinthu_141	contig4266
