Amillepora_1	isotig09765
Amillepora_2	isotig01446
Amillepora_3	isotig12578
Amillepora_4	isotig15553
Amillepora_5	isotig00230
Amillepora_6	isotig00231
Amillepora_7	isotig00235
Amillepora_8	c028086
Amillepora_9	c011148
Amillepora_10	c011142
Amillepora_11	c011147
Amillepora_12	c011145
Amillepora_13	c023528
Amillepora_14	c023525
Amillepora_15	c023527
Amillepora_16	c023521
Amillepora_17	c023523
Amillepora_18	c045190
Amillepora_19	c045192
Amillepora_20	c045194
Amillepora_21	c009047p
Amillepora_22	c045198
Amillepora_23	c041305
Amillepora_24	c050864
Amillepora_25	c044574
Amillepora_26	c050294
Amillepora_27	c050296
Amillepora_28	c050290
Amillepora_29	c050292
Amillepora_30	c027335
Amillepora_31	c003574
Amillepora_32	c050298
Amillepora_33	c027333
Amillepora_34	c003577
Amillepora_35	c006313
Amillepora_36	c050737
Amillepora_37	c050736
Amillepora_38	c050735
Amillepora_39	c003573
Amillepora_40	c003572
Amillepora_41	c050731
Amillepora_42	c006318
Amillepora_43	c051749
Amillepora_44	c054998
Amillepora_45	c054993
Amillepora_46	c054991
Amillepora_47	c054997
Amillepora_48	c054995
Amillepora_49	c050438
Amillepora_50	c053286
Amillepora_51	c050431
Amillepora_52	c002446p
Amillepora_53	c050435
Amillepora_54	c050437
Amillepora_55	c014469
Amillepora_56	c002446m
Amillepora_57	c014092
Amillepora_58	c047430
Amillepora_59	c053282
Amillepora_60	c014465
Amillepora_61	c048669
Amillepora_62	c000325m
Amillepora_63	c000325p
Amillepora_64	c029489
Amillepora_65	c016318p
Amillepora_66	c023524
Amillepora_67	c053289
Amillepora_68	c043733
Amillepora_69	c043731
Amillepora_70	c043736
Amillepora_71	c043734
Amillepora_72	c020173
Amillepora_73	c043738
Amillepora_74	c020177
Amillepora_75	c020175
Amillepora_76	c017471
Amillepora_77	c017470
Amillepora_78	c011969
Amillepora_79	c051211
Amillepora_80	c011961
Amillepora_81	c011963
Amillepora_82	c011965
Amillepora_83	c011967
Amillepora_84	c012304
Amillepora_85	c012306
Amillepora_86	c012300
Amillepora_87	c012302
Amillepora_88	c017477
Amillepora_89	c012309
Amillepora_90	c046271
Amillepora_91	c046273
Amillepora_92	c046275
Amillepora_93	c021599
Amillepora_94	c046279
Amillepora_95	c021595
Amillepora_96	c021593
Amillepora_97	c021590
Amillepora_98	c047102
Amillepora_99	c047104
Amillepora_100	c047106
Amillepora_101	c047108
Amillepora_102	c040338
Amillepora_103	c038233
Amillepora_104	c021224
Amillepora_105	c021221
Amillepora_106	c021223
Amillepora_107	c021229
Amillepora_108	c013632
Amillepora_109	c038235
Amillepora_110	c046854
Amillepora_111	c046856
Amillepora_112	c046850
Amillepora_113	c047511
Amillepora_114	c046859
Amillepora_115	c048101
Amillepora_116	c052774
Amillepora_117	c048105
Amillepora_118	c048107
Amillepora_119	c048109
Amillepora_120	c019378
Amillepora_121	c015268
Amillepora_122	c011149
Amillepora_123	c007725p
Amillepora_124	c011141
Amillepora_125	c011146
Amillepora_126	c011144
Amillepora_127	c044728
Amillepora_128	c023526
Amillepora_129	c023520
Amillepora_130	c023522
Amillepora_131	c045191
Amillepora_132	c045193
Amillepora_133	c045195
Amillepora_134	c045197
Amillepora_135	c045199
Amillepora_136	c050865
Amillepora_137	c040811
Amillepora_138	c009646
Amillepora_139	c011605
Amillepora_140	c050295
Amillepora_141	c050297
Amillepora_142	c050291
Amillepora_143	c050293
Amillepora_144	c027334
Amillepora_145	c027336
Amillepora_146	c050299
Amillepora_147	c027332
Amillepora_148	c015202p
Amillepora_149	c013332
Amillepora_150	c003576
Amillepora_151	c003571
Amillepora_152	c050734
Amillepora_153	c015202m
Amillepora_154	c050732
Amillepora_155	c050730
Amillepora_156	c006319
Amillepora_157	c051748
Amillepora_158	c011143
Amillepora_159	c054992
Amillepora_160	c054990
Amillepora_161	c054996
Amillepora_162	c054994
Amillepora_163	c050439
Amillepora_164	c050430
Amillepora_165	c002812p
Amillepora_166	c050434
Amillepora_167	c050436
Amillepora_168	c053284
Amillepora_169	c014468
Amillepora_170	c002812m
Amillepora_171	c014462
Amillepora_172	c014460
Amillepora_173	c014466
Amillepora_174	c014464
Amillepora_175	c053283
Amillepora_176	c053281
Amillepora_177	c011413
Amillepora_178	c046416
Amillepora_179	c016318m
Amillepora_180	c053288
Amillepora_181	c000066
Amillepora_182	c043732
Amillepora_183	c043730
Amillepora_184	c043735
Amillepora_185	c020172
Amillepora_186	c030194
Amillepora_187	c020176
Amillepora_188	c020174
Amillepora_189	c047433
Amillepora_190	c001747m
Amillepora_191	c029485
Amillepora_192	c011968
Amillepora_193	c017472
Amillepora_194	c011960
Amillepora_195	c011962
Amillepora_196	c011964
Amillepora_197	c011966
Amillepora_198	c012305
Amillepora_199	c012307
Amillepora_200	c012301
Amillepora_201	c012303
Amillepora_202	c029625
Amillepora_203	c045196
Amillepora_204	c046270
Amillepora_205	c046272
Amillepora_206	c038232
Amillepora_207	c046276
Amillepora_208	c046278
Amillepora_209	c021594
Amillepora_210	c021592
Amillepora_211	c047101
Amillepora_212	c047103
Amillepora_213	c047105
Amillepora_214	c047107
Amillepora_215	c047109
Amillepora_216	c040339
Amillepora_217	c021225
Amillepora_218	c021227
Amillepora_219	c021220
Amillepora_220	c021222
Amillepora_221	c021228
Amillepora_222	c022269
Amillepora_223	c046855
Amillepora_224	c046857
Amillepora_225	c046851
Amillepora_226	c046853
Amillepora_227	c047439
Amillepora_228	c046858
Amillepora_229	c048100
Amillepora_230	c048102
Amillepora_231	c048104
Amillepora_232	c048106
Amillepora_233	c048108
Amillepora_234	c019379
Amillepora_235	c049671
Amillepora_236	c049672
Amillepora_237	c049674
Amillepora_238	c015269
Amillepora_239	c049678
Amillepora_240	c041461
Amillepora_241	c041463
Amillepora_242	c036382
Amillepora_243	c036380
Amillepora_244	c036386
Amillepora_245	c036384
Amillepora_246	c036388
Amillepora_247	c021468
Amillepora_248	c037389
Amillepora_249	c052908
Amillepora_250	c016357
Amillepora_251	c016355
Amillepora_252	c052903
Amillepora_253	c052901
Amillepora_254	c052905
Amillepora_255	c009073m
Amillepora_256	c044361
Amillepora_257	c044363
Amillepora_258	c044365
Amillepora_259	c001659p
Amillepora_260	c039277
Amillepora_261	c039274
Amillepora_262	c039272
Amillepora_263	c039270
Amillepora_264	c004794m
Amillepora_265	c054500
Amillepora_266	c054502
Amillepora_267	c054504
Amillepora_268	c054506
Amillepora_269	c054509
Amillepora_270	c019993
Amillepora_271	c019995
Amillepora_272	c019997
Amillepora_273	c036566
Amillepora_274	c036564
Amillepora_275	c036562
Amillepora_276	c036560
Amillepora_277	c031718
Amillepora_278	c026360
Amillepora_279	c036568
Amillepora_280	c026363
Amillepora_281	c026365
Amillepora_282	c030263
Amillepora_283	c033269
Amillepora_284	c033267
Amillepora_285	c042095
Amillepora_286	c008513m
Amillepora_287	c038056
Amillepora_288	c040455
Amillepora_289	c040453
Amillepora_290	c040450
Amillepora_291	c038050
Amillepora_292	c040458
Amillepora_293	c002183
Amillepora_294	c002181
Amillepora_295	c029595
Amillepora_296	c038638
Amillepora_297	c025405p
Amillepora_298	c038635
Amillepora_299	c038637
Amillepora_300	c038631
Amillepora_301	c038633
Amillepora_302	c024313
Amillepora_303	c024311
Amillepora_304	c024317
Amillepora_305	c024315
Amillepora_306	c024318
Amillepora_307	c024575
Amillepora_308	c005914
Amillepora_309	c005910
Amillepora_310	c005912
Amillepora_311	c027338
Amillepora_312	c011417
Amillepora_313	c022478
Amillepora_314	c027330
Amillepora_315	c006873
Amillepora_316	c031389
Amillepora_317	c002585
Amillepora_318	c002583
Amillepora_319	c031388
Amillepora_320	c000088
Amillepora_321	c006697
Amillepora_322	c000089
Amillepora_323	c025049
Amillepora_324	c006691
Amillepora_325	c025045
Amillepora_326	c025047
Amillepora_327	c025041
Amillepora_328	c025043
Amillepora_329	c036171
Amillepora_330	c008017
Amillepora_331	c008016
Amillepora_332	c036175
Amillepora_333	c048845
Amillepora_334	c048847
Amillepora_335	c048841
Amillepora_336	c048843
Amillepora_337	c048848
Amillepora_338	c036176
Amillepora_339	c028348
Amillepora_340	c000339p
Amillepora_341	c028341
Amillepora_342	c028343
Amillepora_343	c028345
Amillepora_344	c028347
Amillepora_345	c034630
Amillepora_346	c018425p
Amillepora_347	c034634
Amillepora_348	c034636
Amillepora_349	c034638
Amillepora_350	c000063
Amillepora_351	c032678
Amillepora_352	c032676
Amillepora_353	c032674
Amillepora_354	c032672
Amillepora_355	c032671
Amillepora_356	c003637
Amillepora_357	c003635
Amillepora_358	c003633
Amillepora_359	c003631
Amillepora_360	c003639
Amillepora_361	c007524
Amillepora_362	c007522
Amillepora_363	c007520
Amillepora_364	c012667
Amillepora_365	c012665
Amillepora_366	c012663
Amillepora_367	c007528
Amillepora_368	c048269
Amillepora_369	c019038
Amillepora_370	c048261
Amillepora_371	c048263
Amillepora_372	c048265
Amillepora_373	c048267
Amillepora_374	c024889
Amillepora_375	c024882
Amillepora_376	c024880
Amillepora_377	c024886
Amillepora_378	c024884
Amillepora_379	c002453
Amillepora_380	c029038
Amillepora_381	c026029
Amillepora_382	c023051
Amillepora_383	c023053
Amillepora_384	c029031
Amillepora_385	c014959
Amillepora_386	c029035
Amillepora_387	c029037
Amillepora_388	c004185
Amillepora_389	c004187
Amillepora_390	c004189
Amillepora_391	c018717m
Amillepora_392	c018717p
Amillepora_393	c000100p
Amillepora_394	c031234
Amillepora_395	c006527
Amillepora_396	c044223
Amillepora_397	c005589
Amillepora_398	c009002
Amillepora_399	c005581
Amillepora_400	c009006
Amillepora_401	c009004
Amillepora_402	c035407
Amillepora_403	c053503
Amillepora_404	c053505
Amillepora_405	c053507
Amillepora_406	c053509
Amillepora_407	c025829
Amillepora_408	c000856m
Amillepora_409	c041319
Amillepora_410	c000423p
Amillepora_411	c004553p
Amillepora_412	c054913
Amillepora_413	c020374
Amillepora_414	c020376
Amillepora_415	c020370
Amillepora_416	c020372
Amillepora_417	c020378
Amillepora_418	c030906
Amillepora_419	c030904
Amillepora_420	c030902
Amillepora_421	c030900
Amillepora_422	c052467
Amillepora_423	c030909
Amillepora_424	c051741
Amillepora_425	c042196
Amillepora_426	c009341
Amillepora_427	c047973
Amillepora_428	c002346p
Amillepora_429	c042197
Amillepora_430	c008637
Amillepora_431	c020998
Amillepora_432	c020991
Amillepora_433	c020993
Amillepora_434	c020995
Amillepora_435	c020997
Amillepora_436	c047975
Amillepora_437	c024055
Amillepora_438	c024057
Amillepora_439	c024051
Amillepora_440	c024053
Amillepora_441	c024059
Amillepora_442	c021029
Amillepora_443	c050432
Amillepora_444	c003293p
Amillepora_445	c002909p
Amillepora_446	c023674
Amillepora_447	c041311
Amillepora_448	c044509
Amillepora_449	c025624
Amillepora_450	c041310
Amillepora_451	c047976
Amillepora_452	c013243p
Amillepora_453	c013243m
Amillepora_454	c014463
Amillepora_455	c042255
Amillepora_456	c016519
Amillepora_457	c016515
Amillepora_458	c016517
Amillepora_459	c016510
Amillepora_460	c016512
Amillepora_461	c054399
Amillepora_462	c031074
Amillepora_463	c044168
Amillepora_464	c044162
Amillepora_465	c044160
Amillepora_466	c044166
Amillepora_467	c044164
Amillepora_468	c010913
Amillepora_469	c041315
Amillepora_470	c010917
Amillepora_471	c010915
Amillepora_472	c044226
Amillepora_473	c022049
Amillepora_474	c022045
