Apalmata_1	AOKF1013_g2_c
Apalmata_2	AOKF1022_b2_c
Apalmata_3	AOKF1022_g2_c
Apalmata_4	AOKF1024_g2_c
Apalmata_5	AOKF1029_g2_c
Apalmata_6	AOKF1031_g2_c
Apalmata_7	AOKF1034_g2_c
Apalmata_8	AOKF1040_g2_c
Apalmata_9	AOKF1045_g2_c
Apalmata_10	AOKF1046_g2_c
Apalmata_11	AOKF1050_b2_c
Apalmata_12	AOKF1057_b2_c
Apalmata_13	AOKF1057_g2_c
Apalmata_14	AOKF1062_g2_c
Apalmata_15	AOKF1064_b2_c
Apalmata_16	AOKF1091_g2_c
Apalmata_17	AOKF1098_g2_c
Apalmata_18	AOKF1100_g2_c
Apalmata_19	AOKF1114_g2_c
Apalmata_20	AOKF1122_g2_c
Apalmata_21	AOKF1127_g2_c
Apalmata_22	AOKF1132_g2_c
Apalmata_23	AOKF1140_b2_c
Apalmata_24	AOKF1148_g2_c
Apalmata_25	AOKF1164_g2_c
Apalmata_26	AOKF1168_g2_c
Apalmata_27	AOKF1172_g2_c
Apalmata_28	AOKF1179_b2_c
Apalmata_29	AOKF1181_b2_c
Apalmata_30	AOKF1188_g2_c
Apalmata_31	AOKF1206_g2_c
Apalmata_32	AOKF1207_b2_c
Apalmata_33	AOKF1221_g2_c
Apalmata_34	AOKF1230_g2_c
Apalmata_35	AOKF1237_g2_c
Apalmata_36	AOKF1238_g2_c
Apalmata_37	AOKF1251_g2_c
Apalmata_38	AOKF1260_g2_c
Apalmata_39	AOKF1269_g2_c
Apalmata_40	AOKF1272_b2_c
Apalmata_41	AOKF1291_g2_c
Apalmata_42	AOKF1293_g2_c
Apalmata_43	AOKF1331_g2_c
Apalmata_44	AOKF1336_g2_c
Apalmata_45	AOKF1347_b2_c
Apalmata_46	AOKF1350_g2_c
Apalmata_47	AOKF1356_g2_c
Apalmata_48	AOKF1360_g2_c
Apalmata_49	AOKF1370_g2_c
Apalmata_50	AOKF1371_g2_c
Apalmata_51	AOKF1377_g2_c
Apalmata_52	AOKF1378_g2_c
Apalmata_53	AOKF1382_g2_c
Apalmata_54	AOKF1422_g2_c
Apalmata_55	AOKF1427_b2_c
Apalmata_56	AOKF1430_g2_c
Apalmata_57	AOKF1448_g2_c
Apalmata_58	AOKF1452_g2_c
Apalmata_59	AOKF1457_g2_c
