Atenuis_1	G3MV2BB01A003X
Atenuis_2	G3MV2BB01A0040
Atenuis_3	G3MV2BB01A004I
Atenuis_4	G3MV2BB01A0052
Atenuis_5	G3MV2BB01A005N
Atenuis_6	G3MV2BB01A007K
Atenuis_7	G3MV2BB01A00CV
Atenuis_8	G3MV2BB01A00DL
Atenuis_9	G3MV2BB01A00E8
Atenuis_10	G3MV2BB01A00F6
Atenuis_11	G3MV2BB01A00FD
Atenuis_12	G3MV2BB01A00G5
Atenuis_13	G3MV2BB01A00I8
Atenuis_14	G3MV2BB01A00LI
Atenuis_15	G3MV2BB01A00S3
Atenuis_16	G3MV2BB01A01GK
Atenuis_17	G3MV2BB01A01TS
Atenuis_18	G3MV2BB01A01WU
Atenuis_19	G3MV2BB01A027C
Atenuis_20	G3MV2BB01A028W
Atenuis_21	G3MV2BB01A02DD
Atenuis_22	G3MV2BB01A02KF
Atenuis_23	G3MV2BB01A031X
Atenuis_24	G3MV2BB01A03VB
Atenuis_25	G3MV2BB01A03XV
Atenuis_26	G3MV2BB01A040W
Atenuis_27	G3MV2BB01A0445
Atenuis_28	G3MV2BB01A047X
Atenuis_29	G3MV2BB01A04L0
Atenuis_30	G3MV2BB01A04PO
Atenuis_31	G3MV2BB01A04Z2
Atenuis_32	G3MV2BB01A05HC
Atenuis_33	G3MV2BB01A05HE
Atenuis_34	G3MV2BB01A06B8
Atenuis_35	G3MV2BB01A06G1
Atenuis_36	G3MV2BB01A06GR
Atenuis_37	G3MV2BB01A06K9
Atenuis_38	G3MV2BB01A06OO
Atenuis_39	G3MV2BB01A06QY
Atenuis_40	G3MV2BB01A06SL
Atenuis_41	G3MV2BB01A0754
Atenuis_42	G3MV2BB01A0760
Atenuis_43	G3MV2BB01A07G3
Atenuis_44	G3MV2BB01A07LQ
Atenuis_45	G3MV2BB01A07MI
Atenuis_46	G3MV2BB01A07TD
Atenuis_47	G3MV2BB01A07TN
Atenuis_48	G3MV2BB01A07VR
Atenuis_49	G3MV2BB01A0892
Atenuis_50	G3MV2BB01A08L4
Atenuis_51	G3MV2BB01A08NK
Atenuis_52	G3MV2BB01A08S6
Atenuis_53	G3MV2BB01A08XV
Atenuis_54	G3MV2BB01A097J
Atenuis_55	G3MV2BB01A09A0
Atenuis_56	G3MV2BB01A09GJ
Atenuis_57	G3MV2BB01A09R5
Atenuis_58	G3MV2BB01A09WZ
Atenuis_59	G3MV2BB01A0A0E
Atenuis_60	G3MV2BB01A0A61
Atenuis_61	G3MV2BB01A0ADP
Atenuis_62	G3MV2BB01A0AO8
Atenuis_63	G3MV2BB01A0APE
Atenuis_64	G3MV2BB01A0APX
Atenuis_65	G3MV2BB01A0B31
Atenuis_66	G3MV2BB01A0B4X
Atenuis_67	G3MV2BB01A0B9S
Atenuis_68	G3MV2BB01A0BB3
Atenuis_69	G3MV2BB01A0BUD
Atenuis_70	G3MV2BB01A0C52
Atenuis_71	G3MV2BB01A0CBO
Atenuis_72	G3MV2BB01A0CF5
Atenuis_73	G3MV2BB01A0CP9
Atenuis_74	G3MV2BB01A0D13
Atenuis_75	G3MV2BB01A0D5C
Atenuis_76	G3MV2BB01A0D5W
Atenuis_77	G3MV2BB01A0D6Q
Atenuis_78	G3MV2BB01A0D7X
Atenuis_79	G3MV2BB01A0DI0
Atenuis_80	G3MV2BB01A0DK0
Atenuis_81	G3MV2BB01A0DLC
Atenuis_82	G3MV2BB01A0DNN
Atenuis_83	G3MV2BB01A0DPU
Atenuis_84	G3MV2BB01A0DQ9
Atenuis_85	G3MV2BB01A0E55
Atenuis_86	G3MV2BB01A0E5I
Atenuis_87	G3MV2BB01A0E7V
Atenuis_88	G3MV2BB01A0EP0
Atenuis_89	G3MV2BB01A0EU2
Atenuis_90	G3MV2BB01A0F0U
Atenuis_91	G3MV2BB01A0FSM
Atenuis_92	G3MV2BB01A0FWA
Atenuis_93	G3MV2BB01A0G6X
Atenuis_94	G3MV2BB01A0GA1
Atenuis_95	G3MV2BB01A0GGO
Atenuis_96	G3MV2BB01A0GOK
Atenuis_97	G3MV2BB01A0GUH
Atenuis_98	G3MV2BB01A0H3D
Atenuis_99	G3MV2BB01A0H4U
Atenuis_100	G3MV2BB01A0HJT
Atenuis_101	G3MV2BB01A0HUL
Atenuis_102	G3MV2BB01A0HX8
Atenuis_103	G3MV2BB01A0IFV
Atenuis_104	G3MV2BB01A0IMS
Atenuis_105	G3MV2BB01A0JMV
Atenuis_106	G3MV2BB01A0JRO
Atenuis_107	G3MV2BB01A0JU0
Atenuis_108	G3MV2BB01A0JVD
Atenuis_109	G3MV2BB01A0JW9
Atenuis_110	G3MV2BB01A0JYE
Atenuis_111	G3MV2BB01A0JZA
Atenuis_112	G3MV2BB01A0K53
Atenuis_113	G3MV2BB01A0KKB
Atenuis_114	G3MV2BB01A0KLF
Atenuis_115	G3MV2BB01A0L2R
Atenuis_116	G3MV2BB01A0L4E
Atenuis_117	G3MV2BB01A0L4J
Atenuis_118	G3MV2BB01A0L60
Atenuis_119	G3MV2BB01A0LV5
Atenuis_120	G3MV2BB01A0LW4
Atenuis_121	G3MV2BB01A0LWA
Atenuis_122	G3MV2BB01A0MJR
Atenuis_123	G3MV2BB01A0MPI
Atenuis_124	G3MV2BB01A0MTT
Atenuis_125	G3MV2BB01A0MV7
Atenuis_126	G3MV2BB01A0N4Q
Atenuis_127	G3MV2BB01A0NBS
Atenuis_128	G3MV2BB01A0ND2
Atenuis_129	G3MV2BB01A0NEL
Atenuis_130	G3MV2BB01A0NK8
Atenuis_131	G3MV2BB01A0O19
Atenuis_132	G3MV2BB01A0O5I
Atenuis_133	G3MV2BB01A0O8B
Atenuis_134	G3MV2BB01A0OBG
Atenuis_135	G3MV2BB01A0OHU
Atenuis_136	G3MV2BB01A0OM5
Atenuis_137	G3MV2BB01A0OOC
Atenuis_138	G3MV2BB01A0OV7
Atenuis_139	G3MV2BB01A0OZS
Atenuis_140	G3MV2BB01A0P01
Atenuis_141	G3MV2BB01A0P1L
Atenuis_142	G3MV2BB01A0P5D
Atenuis_143	G3MV2BB01A0PCG
Atenuis_144	G3MV2BB01A0PCL
Atenuis_145	G3MV2BB01A0PTH
Atenuis_146	G3MV2BB01A0Q28
Atenuis_147	G3MV2BB01A0Q3H
Atenuis_148	G3MV2BB01A0Q3P
Atenuis_149	G3MV2BB01A0QM3
Atenuis_150	G3MV2BB01A0QTK
Atenuis_151	G3MV2BB01A0QZM
Atenuis_152	G3MV2BB01A0RLH
Atenuis_153	G3MV2BB01A0RZ0
Atenuis_154	G3MV2BB01A0RZR
Atenuis_155	G3MV2BB01A0S9C
Atenuis_156	G3MV2BB01A0SS2
Atenuis_157	G3MV2BB01A0SWF
Atenuis_158	G3MV2BB01A0T7W
Atenuis_159	G3MV2BB01A0TQH
Atenuis_160	G3MV2BB01A0TW0
Atenuis_161	G3MV2BB01A0TWY
Atenuis_162	G3MV2BB01A0U0N
Atenuis_163	G3MV2BB01A0U87
Atenuis_164	G3MV2BB01A0UEO
Atenuis_165	G3MV2BB01A0UF2
Atenuis_166	G3MV2BB01A0UIB
Atenuis_167	G3MV2BB01A0UJE
Atenuis_168	G3MV2BB01A0UOJ
Atenuis_169	G3MV2BB01A0UPT
Atenuis_170	G3MV2BB01A0VBP
Atenuis_171	G3MV2BB01A0VDJ
Atenuis_172	G3MV2BB01A0VIY
Atenuis_173	G3MV2BB01A0VLA
Atenuis_174	G3MV2BB01A0W44
Atenuis_175	G3MV2BB01A0WB5
Atenuis_176	G3MV2BB01A0WEX
Atenuis_177	G3MV2BB01A0WPX
Atenuis_178	G3MV2BB01A0WRZ
Atenuis_179	G3MV2BB01A0X02
Atenuis_180	G3MV2BB01A0X2K
Atenuis_181	G3MV2BB01A0X3G
Atenuis_182	G3MV2BB01A0X7F
Atenuis_183	G3MV2BB01A0XCQ
Atenuis_184	G3MV2BB01A0XD0
Atenuis_185	G3MV2BB01A0XGP
Atenuis_186	G3MV2BB01A0XKX
Atenuis_187	G3MV2BB01A0XXH
Atenuis_188	G3MV2BB01A0YET
Atenuis_189	G3MV2BB01A0YJ1
Atenuis_190	G3MV2BB01A0YXO
Atenuis_191	G3MV2BB01A0Z5L
Atenuis_192	G3MV2BB01A0ZF4
Atenuis_193	G3MV2BB01A0ZFH
Atenuis_194	G3MV2BB01A0ZG8
Atenuis_195	G3MV2BB01A0ZGS
Atenuis_196	G3MV2BB01A0ZY3
Atenuis_197	G3MV2BB01A0ZZW
Atenuis_198	G3MV2BB01A1092
Atenuis_199	G3MV2BB01A10G5
Atenuis_200	G3MV2BB01A10G7
Atenuis_201	G3MV2BB01A10G9
Atenuis_202	G3MV2BB01A10J4
Atenuis_203	G3MV2BB01A117Q
Atenuis_204	G3MV2BB01A1274
Atenuis_205	G3MV2BB01A12CT
Atenuis_206	G3MV2BB01A12DJ
Atenuis_207	G3MV2BB01A12G9
Atenuis_208	G3MV2BB01A12K0
Atenuis_209	G3MV2BB01A12M4
Atenuis_210	G3MV2BB01A12M6
Atenuis_211	G3MV2BB01A12TW
Atenuis_212	G3MV2BB01A12U7
Atenuis_213	G3MV2BB01A13D3
Atenuis_214	G3MV2BB01A13D6
Atenuis_215	G3MV2BB01A13EI
Atenuis_216	G3MV2BB01A13L2
Atenuis_217	G3MV2BB01A13VJ
Atenuis_218	G3MV2BB01A144Z
Atenuis_219	G3MV2BB01A14DE
Atenuis_220	G3MV2BB01A14EU
Atenuis_221	G3MV2BB01A14GO
Atenuis_222	G3MV2BB01A14P1
Atenuis_223	G3MV2BB01A152I
Atenuis_224	G3MV2BB01A15X6
Atenuis_225	G3MV2BB01A15ZR
Atenuis_226	G3MV2BB01A163D
Atenuis_227	G3MV2BB01A16N1
Atenuis_228	G3MV2BB01A16W5
Atenuis_229	G3MV2BB01A16W9
Atenuis_230	G3MV2BB01A170A
Atenuis_231	G3MV2BB01A176Q
Atenuis_232	G3MV2BB01A17FY
Atenuis_233	G3MV2BB01A17GA
Atenuis_234	G3MV2BB01A17IP
Atenuis_235	G3MV2BB01A17K7
Atenuis_236	G3MV2BB01A1803
Atenuis_237	G3MV2BB01A18DX
Atenuis_238	G3MV2BB01A18L3
Atenuis_239	G3MV2BB01A18Q4
Atenuis_240	G3MV2BB01A18RA
Atenuis_241	G3MV2BB01A18WC
Atenuis_242	G3MV2BB01A18Y5
Atenuis_243	G3MV2BB01A1913
Atenuis_244	G3MV2BB01A196L
Atenuis_245	G3MV2BB01A19DB
Atenuis_246	G3MV2BB01A19OQ
Atenuis_247	G3MV2BB01A19SD
Atenuis_248	G3MV2BB01A19WS
Atenuis_249	G3MV2BB01A1A33
Atenuis_250	G3MV2BB01A1A3C
Atenuis_251	G3MV2BB01A1ABI
Atenuis_252	G3MV2BB01A1AEL
Atenuis_253	G3MV2BB01A1AOX
Atenuis_254	G3MV2BB01A1ATI
Atenuis_255	G3MV2BB01A1B41
Atenuis_256	G3MV2BB01A1B92
Atenuis_257	G3MV2BB01A1BE7
Atenuis_258	G3MV2BB01A1BXV
Atenuis_259	G3MV2BB01A1C1R
Atenuis_260	G3MV2BB01A1C32
Atenuis_261	G3MV2BB01A1CDV
Atenuis_262	G3MV2BB01A1CKR
Atenuis_263	G3MV2BB01A1CR3
Atenuis_264	G3MV2BB01A1CSC
Atenuis_265	G3MV2BB01A1D72
Atenuis_266	G3MV2BB01A1DAX
Atenuis_267	G3MV2BB01A1DWD
Atenuis_268	G3MV2BB01A1DZB
Atenuis_269	G3MV2BB01A1EE5
Atenuis_270	G3MV2BB01A1EM3
Atenuis_271	G3MV2BB01A1EO9
Atenuis_272	G3MV2BB01A1EYM
Atenuis_273	G3MV2BB01A1F00
Atenuis_274	G3MV2BB01A1F2W
Atenuis_275	G3MV2BB01A1FBR
Atenuis_276	G3MV2BB01A1FHK
Atenuis_277	G3MV2BB01A1FKD
Atenuis_278	G3MV2BB01A1FPD
Atenuis_279	G3MV2BB01A1G4W
Atenuis_280	G3MV2BB01A1G6B
Atenuis_281	G3MV2BB01A1G8B
Atenuis_282	G3MV2BB01A1GAJ
Atenuis_283	G3MV2BB01A1GEI
Atenuis_284	G3MV2BB01A1GO1
Atenuis_285	G3MV2BB01A1GOB
Atenuis_286	G3MV2BB01A1GPU
Atenuis_287	G3MV2BB01A1GRD
Atenuis_288	G3MV2BB01A1H5Z
Atenuis_289	G3MV2BB01A1H9H
Atenuis_290	G3MV2BB01A1HHF
Atenuis_291	G3MV2BB01A1HPZ
