Gacrhelia_1	c60339_g1_i1
Gacrhelia_2	c60339_g4_i1
Gacrhelia_3	c60339_g5_i1
Gacrhelia_4	c60339_g1_i2
Gacrhelia_5	c60339_g3_i2
Gacrhelia_6	c60339_g4_i2
Gacrhelia_7	c60339_g3_i3
Gacrhelia_8	c60339_g1_i4
Gacrhelia_9	c60339_g5_i2
Gacrhelia_10	c60339_g5_i3
Gacrhelia_11	c60339_g1_i6
Gacrhelia_12	c60339_g1_i7
Gacrhelia_13	c60339_g3_i4
Gacrhelia_14	c60339_g4_i3
Gacrhelia_15	c60399_g2_i1
Gacrhelia_16	c60399_g1_i2
Gacrhelia_17	c60399_g1_i4
Gacrhelia_18	c60399_g1_i6
Gacrhelia_19	c60677_g1_i1
Gacrhelia_20	c60677_g3_i1
Gacrhelia_21	c60677_g3_i3
Gacrhelia_22	c60677_g3_i4
Gacrhelia_23	c60677_g2_i2
Gacrhelia_24	c60677_g3_i5
Gacrhelia_25	c60677_g3_i8
Gacrhelia_26	c60677_g2_i4
Gacrhelia_27	c60677_g3_i9
Gacrhelia_28	c60677_g3_i10
Gacrhelia_29	c60677_g2_i6
Gacrhelia_30	c60677_g3_i11
Gacrhelia_31	c61037_g1_i1
Gacrhelia_32	c61037_g1_i2
Gacrhelia_33	c61037_g1_i4
Gacrhelia_34	c60923_g7_i1
Gacrhelia_35	c60923_g7_i2
Gacrhelia_36	c60923_g7_i3
Gacrhelia_37	c60707_g1_i4
Gacrhelia_38	c60707_g1_i5
Gacrhelia_39	c60707_g1_i6
Gacrhelia_40	c61140_g1_i1
Gacrhelia_41	c61140_g1_i2
Gacrhelia_42	c61140_g1_i3
Gacrhelia_43	c61140_g1_i4
Gacrhelia_44	c61140_g1_i6
Gacrhelia_45	c60743_g2_i1
Gacrhelia_46	c60743_g2_i2
Gacrhelia_47	c60743_g2_i3
Gacrhelia_48	c60246_g1_i1
Gacrhelia_49	c60246_g1_i2
Gacrhelia_50	c60246_g2_i1
Gacrhelia_51	c60246_g2_i2
Gacrhelia_52	c60582_g1_i1
Gacrhelia_53	c60582_g1_i2
Gacrhelia_54	c60582_g1_i4
Gacrhelia_55	c60582_g1_i5
Gacrhelia_56	c60582_g1_i6
Gacrhelia_57	c60582_g3_i1
Gacrhelia_58	c60582_g1_i8
Gacrhelia_59	c60582_g1_i9
Gacrhelia_60	c60641_g3_i1
Gacrhelia_61	c60641_g4_i1
Gacrhelia_62	c60641_g3_i2
Gacrhelia_63	c60641_g5_i1
Gacrhelia_64	c60641_g3_i3
Gacrhelia_65	c60641_g6_i1
Gacrhelia_66	c60641_g4_i2
Gacrhelia_67	c60536_g1_i7
Gacrhelia_68	c60536_g3_i1
Gacrhelia_69	c60536_g1_i15
Gacrhelia_70	c60536_g1_i20
Gacrhelia_71	c60789_g1_i1
Gacrhelia_72	c60789_g5_i1
Gacrhelia_73	c60789_g5_i2
Gacrhelia_74	c60789_g6_i1
Gacrhelia_75	c60789_g5_i3
Gacrhelia_76	c60336_g2_i1
Gacrhelia_77	c60336_g3_i1
Gacrhelia_78	c60336_g2_i2
Gacrhelia_79	c60336_g4_i1
Gacrhelia_80	c60336_g4_i2
Gacrhelia_81	c60336_g4_i3
Gacrhelia_82	c60336_g2_i3
Gacrhelia_83	c60336_g3_i2
Gacrhelia_84	c60336_g2_i4
Gacrhelia_85	c60336_g4_i5
Gacrhelia_86	c60336_g3_i3
Gacrhelia_87	c60336_g6_i1
Gacrhelia_88	c60336_g3_i4
Gacrhelia_89	c60336_g2_i5
Gacrhelia_90	c60336_g4_i7
Gacrhelia_91	c60336_g2_i6
Gacrhelia_92	c60336_g2_i7
Gacrhelia_93	c60336_g3_i5
Gacrhelia_94	c60979_g4_i3
Gacrhelia_95	c60979_g7_i1
Gacrhelia_96	c60979_g9_i1
Gacrhelia_97	c60979_g9_i2
Gacrhelia_98	c60979_g9_i3
Gacrhelia_99	c60979_g4_i5
Gacrhelia_100	c60979_g7_i2
Gacrhelia_101	c60979_g5_i2
Gacrhelia_102	c60979_g9_i4
Gacrhelia_103	c60979_g4_i7
Gacrhelia_104	c60979_g9_i6
Gacrhelia_105	c60979_g4_i8
Gacrhelia_106	c60555_g2_i1
Gacrhelia_107	c60555_g2_i3
Gacrhelia_108	c60555_g2_i4
Gacrhelia_109	c60555_g2_i5
Gacrhelia_110	c60555_g2_i7
Gacrhelia_111	c60555_g2_i8
Gacrhelia_112	c60555_g2_i9
Gacrhelia_113	c60555_g2_i12
