Gcolumna_1	c71366_g1_i1
Gcolumna_2	c70727_g1_i1
Gcolumna_3	c70464_g1_i1
Gcolumna_4	c70705_g1_i2
Gcolumna_5	c70705_g1_i3
Gcolumna_6	c70705_g1_i4
Gcolumna_7	c70826_g1_i1
Gcolumna_8	c70818_g1_i1
Gcolumna_9	c71302_g1_i1
Gcolumna_10	c70999_g1_i1
Gcolumna_11	c70999_g1_i3
Gcolumna_12	c71373_g1_i1
Gcolumna_13	c70689_g1_i1
Gcolumna_14	c70665_g2_i1
Gcolumna_15	c70807_g1_i1
Gcolumna_16	c71043_g1_i1
Gcolumna_17	c70890_g1_i1
Gcolumna_18	c70422_g1_i1
Gcolumna_19	c71178_g1_i2
Gcolumna_20	c71178_g2_i1
Gcolumna_21	c71012_g1_i1
Gcolumna_22	c70670_g1_i1
Gcolumna_23	c70384_g1_i1
Gcolumna_24	c70564_g2_i1
Gcolumna_25	c70718_g1_i1
Gcolumna_26	c70721_g1_i1
Gcolumna_27	c70721_g1_i2
Gcolumna_28	c70721_g1_i3
Gcolumna_29	c70721_g1_i4
Gcolumna_30	c71085_g1_i1
Gcolumna_31	c71376_g1_i1
Gcolumna_32	c71376_g2_i1
Gcolumna_33	c71205_g1_i1
Gcolumna_34	c70536_g1_i1
Gcolumna_35	c70685_g1_i1
Gcolumna_36	c70837_g1_i1
Gcolumna_37	c70712_g1_i1
Gcolumna_38	c70712_g1_i2
Gcolumna_39	c71100_g2_i1
Gcolumna_40	c70509_g2_i1
Gcolumna_41	c70926_g1_i1
Gcolumna_42	c71389_g1_i1
Gcolumna_43	c70654_g1_i1
Gcolumna_44	c70461_g1_i1
Gcolumna_45	c71312_g1_i1
Gcolumna_46	c71312_g2_i1
Gcolumna_47	c71310_g1_i1
Gcolumna_48	c71296_g1_i1
Gcolumna_49	c70799_g1_i1
Gcolumna_50	c71127_g1_i1
Gcolumna_51	c70349_g1_i1
Gcolumna_52	c70639_g1_i1
Gcolumna_53	c70639_g1_i2
Gcolumna_54	c70879_g1_i1
Gcolumna_55	c70661_g1_i1
Gcolumna_56	c70992_g1_i2
Gcolumna_57	c70992_g1_i3
Gcolumna_58	c71379_g1_i1
Gcolumna_59	c71065_g1_i1
Gcolumna_60	c70781_g2_i1
Gcolumna_61	c70821_g1_i1
Gcolumna_62	c70821_g2_i1
Gcolumna_63	c70862_g1_i1
Gcolumna_64	c70533_g1_i1
Gcolumna_65	c71179_g1_i1
Gcolumna_66	c70932_g1_i1
Gcolumna_67	c70863_g1_i1
Gcolumna_68	c70863_g1_i2
Gcolumna_69	c70487_g1_i1
Gcolumna_70	c70816_g1_i2
Gcolumna_71	c70816_g1_i3
Gcolumna_72	c71363_g1_i1
Gcolumna_73	c71338_g1_i1
Gcolumna_74	c70783_g1_i1
Gcolumna_75	c70783_g1_i2
Gcolumna_76	c71237_g1_i1
Gcolumna_77	c71029_g1_i1
Gcolumna_78	c71029_g1_i2
Gcolumna_79	c71270_g1_i2
Gcolumna_80	c70578_g1_i1
Gcolumna_81	c71030_g1_i1
Gcolumna_82	c71207_g1_i1
Gcolumna_83	c71139_g1_i1
Gcolumna_84	c70797_g1_i1
Gcolumna_85	c71165_g1_i1
Gcolumna_86	c71256_g1_i1
Gcolumna_87	c71393_g1_i1
Gcolumna_88	c71329_g1_i1
Gcolumna_89	c71428_g1_i1
Gcolumna_90	c71340_g2_i1
Gcolumna_91	c70490_g1_i2
Gcolumna_92	c70868_g1_i1
Gcolumna_93	c70451_g1_i1
Gcolumna_94	c70798_g1_i1
Gcolumna_95	c71285_g1_i1
Gcolumna_96	c71264_g1_i2
Gcolumna_97	c70949_g2_i1
Gcolumna_98	c70948_g1_i1
Gcolumna_99	c70948_g1_i2
Gcolumna_100	c70649_g1_i1
Gcolumna_101	c70668_g1_i1
Gcolumna_102	c70899_g1_i1
Gcolumna_103	c70471_g1_i1
Gcolumna_104	c70704_g1_i2
Gcolumna_105	c70761_g1_i1
Gcolumna_106	c70761_g1_i2
Gcolumna_107	c71352_g1_i1
Gcolumna_108	c70592_g1_i1
Gcolumna_109	c70684_g1_i1
Gcolumna_110	c70963_g1_i1
Gcolumna_111	c71051_g1_i1
Gcolumna_112	c70695_g1_i1
Gcolumna_113	c70953_g1_i1
Gcolumna_114	c70568_g1_i1
Gcolumna_115	c70568_g1_i2
Gcolumna_116	c71337_g1_i1
Gcolumna_117	c71337_g1_i2
Gcolumna_118	c71401_g1_i1
Gcolumna_119	c70960_g1_i1
Gcolumna_120	c71164_g1_i1
Gcolumna_121	c71107_g1_i1
Gcolumna_122	c70474_g1_i1
Gcolumna_123	c70785_g1_i1
Gcolumna_124	c70602_g1_i1
Gcolumna_125	c70905_g1_i1
Gcolumna_126	c70887_g1_i1
Gcolumna_127	c70887_g3_i1
Gcolumna_128	c71422_g1_i1
Gcolumna_129	c71422_g1_i2
Gcolumna_130	c70769_g1_i1
Gcolumna_131	c70769_g2_i1
Gcolumna_132	c70614_g1_i1
Gcolumna_133	c70614_g1_i2
Gcolumna_134	c71427_g1_i1
Gcolumna_135	c71427_g1_i2
Gcolumna_136	c71313_g2_i2
Gcolumna_137	c70652_g1_i1
Gcolumna_138	c70483_g1_i1
Gcolumna_139	c70513_g1_i1
Gcolumna_140	c70771_g1_i1
Gcolumna_141	c70771_g1_i2
Gcolumna_142	c70364_g2_i1
Gcolumna_143	c70530_g1_i1
Gcolumna_144	c70530_g1_i2
Gcolumna_145	c70800_g1_i1
Gcolumna_146	c70954_g1_i2
Gcolumna_147	c71047_g1_i1
Gcolumna_148	c71097_g1_i1
Gcolumna_149	c70833_g1_i1
Gcolumna_150	c71060_g2_i1
Gcolumna_151	c70967_g1_i2
Gcolumna_152	c70967_g1_i4
Gcolumna_153	c71224_g1_i2
Gcolumna_154	c70503_g1_i1
Gcolumna_155	c71293_g1_i1
Gcolumna_156	c58812_g1_i1
Gcolumna_157	c59513_g1_i1
Gcolumna_158	c59513_g1_i2
Gcolumna_159	c59513_g1_i3
Gcolumna_160	c59513_g1_i4
Gcolumna_161	c58744_g1_i1
Gcolumna_162	c58744_g1_i2
Gcolumna_163	c59358_g1_i1
Gcolumna_164	c59358_g1_i2
Gcolumna_165	c59572_g1_i1
Gcolumna_166	c58862_g1_i1
Gcolumna_167	c58862_g1_i3
Gcolumna_168	c58853_g1_i1
Gcolumna_169	c59413_g1_i1
Gcolumna_170	c58929_g1_i1
Gcolumna_171	c59302_g1_i1
Gcolumna_172	c59302_g1_i2
Gcolumna_173	c58928_g1_i1
Gcolumna_174	c59145_g1_i1
Gcolumna_175	c58585_g1_i1
Gcolumna_176	c58629_g1_i1
Gcolumna_177	c58885_g1_i1
Gcolumna_178	c58885_g1_i2
Gcolumna_179	c59026_g1_i1
Gcolumna_180	c59586_g1_i1
Gcolumna_181	c59494_g1_i1
Gcolumna_182	c58610_g1_i1
Gcolumna_183	c58610_g1_i2
Gcolumna_184	c59174_g1_i2
Gcolumna_185	c58995_g1_i1
Gcolumna_186	c59414_g1_i1
Gcolumna_187	c59468_g1_i1
Gcolumna_188	c58603_g1_i2
Gcolumna_189	c58523_g1_i1
Gcolumna_190	c58700_g1_i1
Gcolumna_191	c58700_g1_i2
Gcolumna_192	c58615_g1_i1
Gcolumna_193	c59171_g1_i1
Gcolumna_194	c59310_g1_i1
Gcolumna_195	c59272_g1_i1
Gcolumna_196	c58805_g1_i1
Gcolumna_197	c58911_g1_i1
Gcolumna_198	c58538_g1_i1
Gcolumna_199	c58547_g1_i1
Gcolumna_200	c58616_g1_i1
Gcolumna_201	c58616_g1_i2
Gcolumna_202	c58616_g1_i3
Gcolumna_203	c58599_g1_i2
Gcolumna_204	c58860_g1_i1
Gcolumna_205	c59035_g2_i1
Gcolumna_206	c59470_g1_i1
Gcolumna_207	c58535_g1_i2
Gcolumna_208	c58591_g1_i1
Gcolumna_209	c58591_g1_i3
Gcolumna_210	c58561_g1_i1
Gcolumna_211	c58617_g1_i1
Gcolumna_212	c58556_g1_i1
Gcolumna_213	c59191_g1_i1
Gcolumna_214	c58908_g1_i1
Gcolumna_215	c59510_g1_i2
Gcolumna_216	c59472_g1_i1
Gcolumna_217	c58775_g2_i1
Gcolumna_218	c59436_g1_i1
Gcolumna_219	c59436_g2_i1
Gcolumna_220	c58894_g2_i1
Gcolumna_221	c58586_g2_i1
Gcolumna_222	c59487_g1_i1
Gcolumna_223	c59081_g1_i1
Gcolumna_224	c59081_g1_i2
Gcolumna_225	c58639_g1_i1
Gcolumna_226	c59232_g1_i2
Gcolumna_227	c59232_g1_i3
Gcolumna_228	c59454_g2_i1
Gcolumna_229	c59401_g1_i2
Gcolumna_230	c59587_g1_i1
Gcolumna_231	c58837_g1_i1
Gcolumna_232	c58837_g1_i2
Gcolumna_233	c59350_g1_i1
Gcolumna_234	c58979_g1_i1
Gcolumna_235	c58979_g1_i2
Gcolumna_236	c58779_g1_i1
Gcolumna_237	c59070_g1_i1
Gcolumna_238	c58769_g1_i1
Gcolumna_239	c58652_g1_i1
Gcolumna_240	c58952_g1_i1
Gcolumna_241	c59038_g1_i1
Gcolumna_242	c59105_g1_i1
Gcolumna_243	c58804_g1_i1
Gcolumna_244	c59053_g1_i1
Gcolumna_245	c59053_g1_i2
Gcolumna_246	c58815_g2_i1
Gcolumna_247	c58673_g1_i1
Gcolumna_248	c59132_g1_i1
Gcolumna_249	c59372_g1_i1
Gcolumna_250	c58867_g1_i2
Gcolumna_251	c58695_g1_i1
Gcolumna_252	c59342_g1_i1
Gcolumna_253	c58996_g1_i1
