Maequitube_1	c85276_g2_i1
Maequitube_2	c85276_g3_i1
Maequitube_3	c85276_g4_i1
Maequitube_4	c85276_g5_i1
Maequitube_5	c85276_g5_i2
Maequitube_6	c84992_g1_i1
Maequitube_7	c85394_g4_i1
Maequitube_8	c85394_g4_i2
Maequitube_9	c85394_g4_i3
Maequitube_10	c84536_g1_i6
Maequitube_11	c84536_g1_i8
Maequitube_12	c85308_g2_i1
Maequitube_13	c85308_g2_i2
Maequitube_14	c85308_g3_i1
Maequitube_15	c85308_g3_i3
Maequitube_16	c85308_g2_i5
Maequitube_17	c85308_g2_i6
Maequitube_18	c85308_g5_i1
Maequitube_19	c85308_g4_i2
Maequitube_20	c85308_g5_i2
Maequitube_21	c85308_g3_i4
Maequitube_22	c85308_g4_i4
Maequitube_23	c85308_g4_i5
Maequitube_24	c85308_g3_i5
Maequitube_25	c85308_g4_i6
Maequitube_26	c85308_g5_i4
Maequitube_27	c85075_g1_i1
Maequitube_28	c85118_g1_i1
Maequitube_29	c84861_g1_i1
Maequitube_30	c84861_g1_i2
Maequitube_31	c84861_g1_i3
Maequitube_32	c84861_g1_i4
Maequitube_33	c84861_g1_i5
Maequitube_34	c85013_g2_i1
Maequitube_35	c85013_g2_i3
Maequitube_36	c85013_g2_i5
Maequitube_37	c84621_g1_i4
Maequitube_38	c84621_g1_i6
Maequitube_39	c84621_g1_i7
Maequitube_40	c84621_g1_i8
Maequitube_41	c84621_g1_i10
Maequitube_42	c84920_g1_i1
Maequitube_43	c84697_g1_i1
Maequitube_44	c84697_g1_i2
Maequitube_45	c84935_g1_i1
Maequitube_46	c84935_g1_i2
Maequitube_47	c84935_g1_i3
Maequitube_48	c84935_g1_i4
Maequitube_49	c84935_g1_i5
Maequitube_50	c84806_g1_i1
Maequitube_51	c84806_g3_i1
Maequitube_52	c85446_g1_i1
Maequitube_53	c85072_g3_i1
Maequitube_54	c85072_g4_i2
Maequitube_55	c85072_g4_i3
Maequitube_56	c85072_g3_i3
Maequitube_57	c85472_g5_i1
Maequitube_58	c85420_g1_i1
Maequitube_59	c85420_g1_i2
Maequitube_60	c85420_g1_i3
Maequitube_61	c85420_g2_i1
Maequitube_62	c84532_g2_i1
Maequitube_63	c84532_g2_i2
Maequitube_64	c84532_g2_i3
Maequitube_65	c85290_g2_i1
Maequitube_66	c85290_g2_i2
Maequitube_67	c85290_g2_i4
Maequitube_68	c85290_g2_i5
Maequitube_69	c84503_g3_i2
Maequitube_70	c84503_g5_i2
Maequitube_71	c84503_g5_i3
Maequitube_72	c84918_g2_i1
Maequitube_73	c84918_g2_i2
Maequitube_74	c84953_g1_i1
Maequitube_75	c84953_g1_i2
Maequitube_76	c84953_g1_i3
Maequitube_77	c84953_g1_i4
Maequitube_78	c84953_g1_i5
Maequitube_79	c84953_g1_i6
Maequitube_80	c85002_g1_i1
Maequitube_81	c85002_g1_i3
Maequitube_82	c85002_g3_i2
Maequitube_83	c85002_g3_i8
Maequitube_84	c85002_g1_i5
Maequitube_85	c85002_g5_i1
Maequitube_86	c85002_g1_i6
Maequitube_87	c84940_g1_i1
Maequitube_88	c84940_g1_i3
Maequitube_89	c84978_g3_i1
Maequitube_90	c84978_g3_i2
Maequitube_91	c84978_g4_i1
Maequitube_92	c84978_g1_i4
Maequitube_93	c84978_g4_i2
Maequitube_94	c84978_g1_i5
