Mcapitata_1	lcl|c100180_g1_i2
Mcapitata_2	lcl|c100397_g2_i1
Mcapitata_3	lcl|c100742_g1_i1
Mcapitata_4	lcl|c100862_g1_i1
Mcapitata_5	lcl|c100868_g1_i1
Mcapitata_6	lcl|c100915_g1_i1
Mcapitata_7	lcl|c101379_g2_i1
Mcapitata_8	lcl|c101730_g1_i1
Mcapitata_9	lcl|c101819_g1_i1
Mcapitata_10	lcl|c102856_g3_i1
Mcapitata_11	lcl|c103175_g1_i1
Mcapitata_12	lcl|c104569_g1_i1
Mcapitata_13	lcl|c104892_g1_i1
Mcapitata_14	lcl|c104930_g1_i1
Mcapitata_15	lcl|c105841_g1_i2
Mcapitata_16	lcl|c106278_g1_i1
Mcapitata_17	lcl|c106532_g1_i1
Mcapitata_18	lcl|c106540_g1_i1
Mcapitata_19	lcl|c106659_g1_i1
Mcapitata_20	lcl|c106817_g1_i1
Mcapitata_21	lcl|c10682_g1_i1
Mcapitata_22	lcl|c106952_g1_i1
Mcapitata_23	lcl|c107270_g2_i1
Mcapitata_24	lcl|c107500_g1_i1
Mcapitata_25	lcl|c107690_g1_i1
Mcapitata_26	lcl|c107690_g2_i1
Mcapitata_27	lcl|c107835_g1_i1
Mcapitata_28	lcl|c108332_g1_i1
Mcapitata_29	lcl|c108332_g1_i2
Mcapitata_30	lcl|c108423_g2_i1
Mcapitata_31	lcl|c108741_g1_i1
Mcapitata_32	lcl|c108785_g1_i1
Mcapitata_33	lcl|c108833_g1_i1
Mcapitata_34	lcl|c108950_g1_i1
Mcapitata_35	lcl|c109140_g2_i1
Mcapitata_36	lcl|c109386_g1_i1
Mcapitata_37	lcl|c109389_g1_i1
Mcapitata_38	lcl|c110125_g1_i1
Mcapitata_39	lcl|c111145_g2_i1
Mcapitata_40	lcl|c111229_g1_i1
Mcapitata_41	lcl|c111880_g1_i1
Mcapitata_42	lcl|c111880_g2_i2
Mcapitata_43	lcl|c11224_g1_i1
Mcapitata_44	lcl|c113974_g1_i1
Mcapitata_45	lcl|c114012_g1_i1
Mcapitata_46	lcl|c114166_g1_i1
Mcapitata_47	lcl|c114597_g1_i1
Mcapitata_48	lcl|c116355_g1_i1
Mcapitata_49	lcl|c116365_g1_i1
Mcapitata_50	lcl|c116411_g2_i1
Mcapitata_51	lcl|c116634_g1_i2
Mcapitata_52	lcl|c116807_g1_i1
Mcapitata_53	lcl|c116870_g1_i2
Mcapitata_54	lcl|c11694_g1_i1
Mcapitata_55	lcl|c117032_g2_i1
Mcapitata_56	lcl|c117436_g1_i1
Mcapitata_57	lcl|c117437_g1_i1
Mcapitata_58	lcl|c117469_g1_i1
Mcapitata_59	lcl|c117504_g2_i1
Mcapitata_60	lcl|c117676_g2_i1
Mcapitata_61	lcl|c117763_g1_i2
Mcapitata_62	lcl|c117780_g1_i1
Mcapitata_63	lcl|c117863_g1_i1
Mcapitata_64	lcl|c118271_g1_i1
Mcapitata_65	lcl|c118470_g1_i1
Mcapitata_66	lcl|c118493_g1_i1
