Ofaveolata_1	comp0_c0_seq1
Ofaveolata_2	comp12_c0_seq1
Ofaveolata_3	comp16_c0_seq1
Ofaveolata_4	comp31_c0_seq1
Ofaveolata_5	comp32_c0_seq1
Ofaveolata_6	comp39_c0_seq1
Ofaveolata_7	comp53_c0_seq1
Ofaveolata_8	comp57_c0_seq1
Ofaveolata_9	comp59_c0_seq1
Ofaveolata_10	comp62_c0_seq1
Ofaveolata_11	comp63_c0_seq1
Ofaveolata_12	comp65_c0_seq1
Ofaveolata_13	comp69_c0_seq1
Ofaveolata_14	comp73_c0_seq1
Ofaveolata_15	comp80_c0_seq1
Ofaveolata_16	comp94_c0_seq1
Ofaveolata_17	comp97_c0_seq1
Ofaveolata_18	comp105_c0_seq1
Ofaveolata_19	comp107_c0_seq1
Ofaveolata_20	comp108_c0_seq1
Ofaveolata_21	comp115_c0_seq1
Ofaveolata_22	comp122_c0_seq1
Ofaveolata_23	comp123_c0_seq1
Ofaveolata_24	comp128_c0_seq1
Ofaveolata_25	comp130_c0_seq1
Ofaveolata_26	comp140_c0_seq1
Ofaveolata_27	comp149_c0_seq1
Ofaveolata_28	comp151_c0_seq1
Ofaveolata_29	comp156_c0_seq1
Ofaveolata_30	comp158_c0_seq1
Ofaveolata_31	comp159_c0_seq1
Ofaveolata_32	comp168_c0_seq1
Ofaveolata_33	comp172_c0_seq1
Ofaveolata_34	comp179_c0_seq2
Ofaveolata_35	comp190_c0_seq1
Ofaveolata_36	comp216_c0_seq1
Ofaveolata_37	comp217_c0_seq1
Ofaveolata_38	comp221_c0_seq1
Ofaveolata_39	comp233_c0_seq1
Ofaveolata_40	comp238_c0_seq1
Ofaveolata_41	comp257_c0_seq1
Ofaveolata_42	comp258_c0_seq1
Ofaveolata_43	comp273_c0_seq1
Ofaveolata_44	comp285_c0_seq1
Ofaveolata_45	comp298_c0_seq1
Ofaveolata_46	comp300_c0_seq1
Ofaveolata_47	comp323_c0_seq1
Ofaveolata_48	comp333_c0_seq1
Ofaveolata_49	comp335_c0_seq1
Ofaveolata_50	comp339_c0_seq1
Ofaveolata_51	comp339_c0_seq2
Ofaveolata_52	comp346_c0_seq1
Ofaveolata_53	comp358_c0_seq1
Ofaveolata_54	comp359_c0_seq1
