Pastreoide_1	GCKDGN101CF7JK
Pastreoide_2	GCKDGN101CAZ1A
Pastreoide_3	GCKDGN101ANI4S
Pastreoide_4	GCKDGN101BV6U3
Pastreoide_5	GCKDGN101BQG8Q
Pastreoide_6	GCKDGN101CG9W2
Pastreoide_7	GCKDGN101A7H4U
Pastreoide_8	GCKDGN101ATRIP
Pastreoide_9	GCKDGN101CINM3
Pastreoide_10	GCKDGN101BOM13
Pastreoide_11	GCKDGN101B86L6
Pastreoide_12	GCKDGN101BXQES
Pastreoide_13	GCKDGN101A8LTX
Pastreoide_14	GCKDGN101BV2FW
Pastreoide_15	GCKDGN101BINEP
Pastreoide_16	GCKDGN101BDLRC
Pastreoide_17	GCKDGN101BVSUC
Pastreoide_18	GCKDGN101CD2OP
Pastreoide_19	GCKDGN101A4JA1
Pastreoide_20	GCKDGN101CINNO
Pastreoide_21	GCKDGN101BDUXR
Pastreoide_22	GCKDGN101BS03A
Pastreoide_23	GCKDGN101A9IY8
Pastreoide_24	GCKDGN102C559N
Pastreoide_25	GCKDGN102C7AN4
Pastreoide_26	GCKDGN101A9QGN
Pastreoide_27	GCKDGN101B9AAV
Pastreoide_28	GCKDGN101B9ARI
Pastreoide_29	GCKDGN101BOE1Y
Pastreoide_30	GCKDGN101B72NH
Pastreoide_31	GCKDGN101CDHQZ
Pastreoide_32	GCKDGN101BDK8F
Pastreoide_33	GCKDGN101B9C4R
Pastreoide_34	GCKDGN101BXHY2
Pastreoide_35	GCKDGN102C7B7X
Pastreoide_36	GCKDGN101CA394
Pastreoide_37	GCKDGN102C9O6N
Pastreoide_38	GCKDGN101BXESI
Pastreoide_39	GCKDGN101B8YPH
Pastreoide_40	GCKDGN101AZCFN
Pastreoide_41	GCKDGN101AP7W7
Pastreoide_42	GCKDGN101BD8FM
Pastreoide_43	GCKDGN101B87CF
Pastreoide_44	GCKDGN101AKFMH
Pastreoide_45	GCKDGN101BQ3WK
Pastreoide_46	GCKDGN101BJLOM
Pastreoide_47	GCKDGN101APP9A
Pastreoide_48	GCKDGN101A46X0
Pastreoide_49	GCKDGN101BK0DG
Pastreoide_50	GCKDGN101BXO4H
Pastreoide_51	GCKDGN101A1VC2
Pastreoide_52	GCKDGN101BK9KZ
Pastreoide_53	GCKDGN101B02HP
Pastreoide_54	GCKDGN101A8JYC
Pastreoide_55	GCKDGN101A5FF0
Pastreoide_56	GCKDGN101AK2HD
Pastreoide_57	GCKDGN102C3KT7
Pastreoide_58	GCKDGN101BJF8N
Pastreoide_59	GCKDGN101B9JC7
Pastreoide_60	GCKDGN101A5BL5
Pastreoide_61	GCKDGN101BZSDK
Pastreoide_62	GCKDGN102C5MP5
Pastreoide_63	GCKDGN102C9TDD
Pastreoide_64	GCKDGN101BL48G
Pastreoide_65	GCKDGN101AN14R
Pastreoide_66	GCKDGN101A7TPL
Pastreoide_67	GCKDGN101BQ4JB
Pastreoide_68	GCKDGN102C6TMP
Pastreoide_69	GCKDGN101BQ35Q
Pastreoide_70	GCKDGN101BF779
Pastreoide_71	GCKDGN101ANCA7
Pastreoide_72	GCKDGN101AWCQV
Pastreoide_73	GCKDGN101AWJO8
Pastreoide_74	GCKDGN102C6LOG
Pastreoide_75	GCKDGN101BDZSU
Pastreoide_76	GCKDGN101BFZAZ
Pastreoide_77	GCKDGN101BE2JX
Pastreoide_78	GCKDGN101B1QY5
Pastreoide_79	GCKDGN102C20BT
Pastreoide_80	GCKDGN101AQQAX
Pastreoide_81	GCKDGN101BVHYA
Pastreoide_82	GCKDGN101AQ7DO
Pastreoide_83	GCKDGN101AYKN8
Pastreoide_84	GCKDGN101AOXKH
Pastreoide_85	GCKDGN102D29WW
Pastreoide_86	GCKDGN101A0S2C
Pastreoide_87	GCKDGN101CKUK2
Pastreoide_88	GCKDGN101ALK01
Pastreoide_89	GCKDGN101BO3K3
Pastreoide_90	GCKDGN101A6APY
Pastreoide_91	GCKDGN101CCVGD
Pastreoide_92	GCKDGN101B886N
Pastreoide_93	GCKDGN101BUAX6
Pastreoide_94	GCKDGN101BDC96
Pastreoide_95	GCKDGN101BQRNB
Pastreoide_96	GCKDGN101BXKER
Pastreoide_97	GCKDGN101A4RKF
Pastreoide_98	GCKDGN101CK8HX
Pastreoide_99	GCKDGN101BSSSG
Pastreoide_100	GCKDGN101BFSLH
Pastreoide_101	GCKDGN101CAWUY
Pastreoide_102	GCKDGN102C2RO9
Pastreoide_103	GCKDGN101BACNZ
Pastreoide_104	GCKDGN101BFDQ0
Pastreoide_105	GCKDGN101A8O1L
Pastreoide_106	GCKDGN102D2R14
Pastreoide_107	GCKDGN101BRSYO
Pastreoide_108	GCKDGN101AVLKI
Pastreoide_109	GCKDGN101CD2UG
Pastreoide_110	GCKDGN101CD92F
Pastreoide_111	GCKDGN101CAE2I
Pastreoide_112	GCKDGN102D01G8
Pastreoide_113	GCKDGN102C4AHC
Pastreoide_114	GCKDGN101B8SXI
Pastreoide_115	GCKDGN101B7MC4
Pastreoide_116	GCKDGN101AWZ8E
Pastreoide_117	GCKDGN102D1N9T
Pastreoide_118	GCKDGN101B2N4F
Pastreoide_119	GCKDGN101B1AGG
Pastreoide_120	GCKDGN101BB2J7
Pastreoide_121	GCKDGN101BDM8D
Pastreoide_122	GCKDGN101CIWHD
Pastreoide_123	GCKDGN101B42QO
Pastreoide_124	GCKDGN101CILVI
Pastreoide_125	GCKDGN101BIUTB
Pastreoide_126	GCKDGN101A92GT
Pastreoide_127	GCKDGN101B3Q1X
Pastreoide_128	GCKDGN101AQNCY
Pastreoide_129	GCKDGN101AY3M9
Pastreoide_130	GCKDGN101BROKN
Pastreoide_131	GCKDGN101CJL63
Pastreoide_132	GCKDGN101CI1PX
Pastreoide_133	GCKDGN102C43XP
Pastreoide_134	GCKDGN101A2042
Pastreoide_135	GCKDGN101BT5RG
Pastreoide_136	GCKDGN101A38VU
Pastreoide_137	GCKDGN101CIEBG
Pastreoide_138	GCKDGN101B3IRY
Pastreoide_139	GCKDGN101BWYPI
Pastreoide_140	GCKDGN101BT46V
Pastreoide_141	GCKDGN102D5K76
Pastreoide_142	GCKDGN101CI9UN
Pastreoide_143	GCKDGN101CIF2C
Pastreoide_144	GCKDGN101AVZ8X
Pastreoide_145	GCKDGN101BU52M
Pastreoide_146	GCKDGN101BI7LW
Pastreoide_147	GCKDGN101BL3YI
Pastreoide_148	GCKDGN101BXTXA
Pastreoide_149	GCKDGN101CKPN5
Pastreoide_150	GCKDGN101A03XE
Pastreoide_151	GCKDGN102D682O
Pastreoide_152	GCKDGN101B7XSZ
Pastreoide_153	GCKDGN101AXHK1
Pastreoide_154	GCKDGN102C6DFN
Pastreoide_155	GCKDGN102D467R
Pastreoide_156	GCKDGN101BFHOR
Pastreoide_157	GCKDGN101BARHN
Pastreoide_158	GCKDGN101B7GE4
Pastreoide_159	GCKDGN101CE8LR
Pastreoide_160	GCKDGN101BNCHW
Pastreoide_161	GCKDGN101ASTYA
Pastreoide_162	GCKDGN101CDRZ1
Pastreoide_163	GCKDGN101A2FEY
Pastreoide_164	GCKDGN101A4S6K
Pastreoide_165	GCKDGN101BOCUR
Pastreoide_166	GCKDGN102C8IY2
Pastreoide_167	GCKDGN101A2JR9
Pastreoide_168	GCKDGN101AWUT4
Pastreoide_169	GCKDGN101A4ILS
Pastreoide_170	GCKDGN101BNIWR
Pastreoide_171	GCKDGN102C9XVK
Pastreoide_172	GCKDGN101BNEOV
Pastreoide_173	GCKDGN102D3OR7
Pastreoide_174	GCKDGN101BD7CO
Pastreoide_175	GCKDGN101AUKUK
Pastreoide_176	GCKDGN101A2DX5
Pastreoide_177	GCKDGN102D3GOW
Pastreoide_178	GCKDGN101AP5C7
Pastreoide_179	GCKDGN101AJ523
Pastreoide_180	GCKDGN101AVOLW
Pastreoide_181	GCKDGN101BF6WZ
Pastreoide_182	GCKDGN101AXFYK
Pastreoide_183	GCKDGN101AVEXQ
