Pdaedalea_1	c11443_g1_i1
Pdaedalea_2	c11480_g1_i1
Pdaedalea_3	c11508_g1_i1
Pdaedalea_4	c11485_g1_i1
Pdaedalea_5	c11488_g1_i1
Pdaedalea_6	c11525_g1_i1
Pdaedalea_7	c11469_g1_i1
Pdaedalea_8	c11471_g1_i2
Pdaedalea_9	c11506_g1_i1
Pdaedalea_10	c11500_g1_i2
Pdaedalea_11	c11481_g1_i1
Pdaedalea_12	c11479_g1_i1
Pdaedalea_13	c11464_g1_i2
Pdaedalea_14	c11507_g1_i2
Pdaedalea_15	c11498_g1_i1
Pdaedalea_16	c11501_g1_i1
Pdaedalea_17	c11475_g1_i1
Pdaedalea_18	c11478_g1_i1
Pdaedalea_19	c11491_g2_i1
Pdaedalea_20	c11473_g1_i1
Pdaedalea_21	c11493_g1_i1
Pdaedalea_22	c11517_g1_i1
Pdaedalea_23	c11452_g1_i1
Pdaedalea_24	c11444_g1_i1
Pdaedalea_25	c11466_g1_i2
Pdaedalea_26	c11475_g1_i2
Pdaedalea_27	c11489_g1_i3
Pdaedalea_28	c11446_g1_i1
Pdaedalea_29	c11515_g1_i1
Pdaedalea_30	c11521_g1_i2
Pdaedalea_31	c11461_g1_i1
Pdaedalea_32	c11509_g1_i1
Pdaedalea_33	c11451_g1_i1
Pdaedalea_34	c11503_g1_i2
Pdaedalea_35	c11454_g1_i1
Pdaedalea_36	c11462_g1_i1
Pdaedalea_37	c11448_g1_i1
Pdaedalea_38	c11458_g1_i1
Pdaedalea_39	c11467_g1_i1
Pdaedalea_40	c11515_g1_i4
Pdaedalea_41	c11519_g1_i1
Pdaedalea_42	c11460_g1_i1
Pdaedalea_43	c11447_g1_i1
Pdaedalea_44	c11459_g1_i1
Pdaedalea_45	c11449_g1_i1
Pdaedalea_46	c11502_g1_i1
Pdaedalea_47	c11503_g1_i1
Pdaedalea_48	c11474_g1_i1
Pdaedalea_49	c11484_g1_i1
Pdaedalea_50	c11526_g1_i1
Pdaedalea_51	c11515_g1_i2
Pdaedalea_52	c11521_g1_i1
Pdaedalea_53	c11470_g1_i1
Pdaedalea_54	c11520_g1_i1
Pdaedalea_55	c11515_g1_i5
Pdaedalea_56	c11526_g1_i2
Pdaedalea_57	c11477_g1_i1
Pdaedalea_58	c11515_g1_i6
Pdaedalea_59	c11505_g1_i1
Pdaedalea_60	c11483_g1_i2
Pdaedalea_61	c11450_g1_i1
Pdaedalea_62	c11487_g1_i2
Pdaedalea_63	c11465_g1_i3
Pdaedalea_64	c11476_g1_i1
Pdaedalea_65	c11492_g1_i1
Pdaedalea_66	c11511_g1_i1
Pdaedalea_67	c11527_g1_i1
Pdaedalea_68	c11455_g1_i1
Pdaedalea_69	c11490_g1_i1
Pdaedalea_70	c11484_g1_i2
Pdaedalea_71	c11494_g1_i2
Pdaedalea_72	c11523_g1_i1
Pdaedalea_73	c11449_g1_i2
Pdaedalea_74	c11497_g2_i1
Pdaedalea_75	c11444_g2_i1
Pdaedalea_76	c11494_g1_i1
Pdaedalea_77	c11447_g1_i2
Pdaedalea_78	c11499_g1_i1
Pdaedalea_79	c11467_g1_i2
Pdaedalea_80	c11458_g1_i2
Pdaedalea_81	c11464_g1_i1
Pdaedalea_82	c11507_g1_i3
Pdaedalea_83	c11472_g1_i1
Pdaedalea_84	c11465_g1_i1
Pdaedalea_85	c11513_g1_i1
Pdaedalea_86	c11522_g1_i1
Pdaedalea_87	c11500_g1_i1
