Pdamicorni_1	bu_91849.1_c1
Pdamicorni_2	bu_91849.1_c2
Pdamicorni_3	bu_91849.1_c3
Pdamicorni_4	bu_91849.1_c4
Pdamicorni_5	bu_91849.1_c5
Pdamicorni_6	bu_91849.1_c6
Pdamicorni_7	bu_91849.1_c7
Pdamicorni_8	bu_91849.1_c8
Pdamicorni_9	bu_91849.1_c9
Pdamicorni_10	bu_91849.1_c10
Pdamicorni_11	bu_91849.1_c11
Pdamicorni_12	bu_91849.1_c12
Pdamicorni_13	bu_91849.1_c13
Pdamicorni_14	bu_91849.1_c14
Pdamicorni_15	bu_91849.1_c15
Pdamicorni_16	bu_91849.1_c16
Pdamicorni_17	bu_91849.1_c17
Pdamicorni_18	bu_91849.1_c18
Pdamicorni_19	bu_91849.1_c19
Pdamicorni_20	bu_91849.1_c20
Pdamicorni_21	bu_91849.1_c21
Pdamicorni_22	bu_91849.1_c22
Pdamicorni_23	bu_91849.1_c23
Pdamicorni_24	bu_91849.1_c24
Pdamicorni_25	bu_91849.1_c25
Pdamicorni_26	bu_91849.1_c26
Pdamicorni_27	bu_91849.1_c27
Pdamicorni_28	bu_91849.1_c28
Pdamicorni_29	bu_91849.1_c29
Pdamicorni_30	bu_91849.1_c30
Pdamicorni_31	bu_91849.1_c31
Pdamicorni_32	bu_91849.1_c32
Pdamicorni_33	bu_91849.1_c33
Pdamicorni_34	bu_91849.1_c34
Pdamicorni_35	bu_91849.1_c35
Pdamicorni_36	bu_91849.1_c36
Pdamicorni_37	bu_91849.1_c37
Pdamicorni_38	bu_91849.1_c38
Pdamicorni_39	bu_91849.1_c39
Pdamicorni_40	bu_91849.1_c40
Pdamicorni_41	bu_91849.1_c41
Pdamicorni_42	bu_91849.1_c42
Pdamicorni_43	bu_91849.1_c43
Pdamicorni_44	bu_91849.1_c44
Pdamicorni_45	bu_91849.1_c45
Pdamicorni_46	bu_91849.1_c46
Pdamicorni_47	bu_91849.1_c47
Pdamicorni_48	bu_91849.1_c48
Pdamicorni_49	bu_91849.1_c49
Pdamicorni_50	bu_91849.1_c50
Pdamicorni_51	bu_91849.1_c51
Pdamicorni_52	bu_91849.1_c52
Pdamicorni_53	bu_91849.1_c53
Pdamicorni_54	bu_91849.1_c54
Pdamicorni_55	bu_91849.1_c55
Pdamicorni_56	bu_91849.1_c56
Pdamicorni_57	bu_91849.1_c57
Pdamicorni_58	bu_91849.1_c58
Pdamicorni_59	bu_91849.1_c59
Pdamicorni_60	bu_91849.1_c60
Pdamicorni_61	bu_91849.1_c61
Pdamicorni_62	bu_91849.1_c62
Pdamicorni_63	bu_91849.1_c63
Pdamicorni_64	bu_91849.1_c64
Pdamicorni_65	bu_91849.1_c65
Pdamicorni_66	bu_91849.1_c66
Pdamicorni_67	bu_91849.1_c67
Pdamicorni_68	bu_91849.1_c68
Pdamicorni_69	bu_91849.1_c69
Pdamicorni_70	bu_91849.1_c70
Pdamicorni_71	bu_91849.1_c71
Pdamicorni_72	bu_91849.1_c72
Pdamicorni_73	bu_91849.1_c73
Pdamicorni_74	bu_91849.1_c74
Pdamicorni_75	bu_91849.1_c75
Pdamicorni_76	bu_91849.1_c76
Pdamicorni_77	bu_91849.1_c77
Pdamicorni_78	bu_91849.1_c78
Pdamicorni_79	bu_91849.1_c79
Pdamicorni_80	bu_91849.1_c80
Pdamicorni_81	bu_91849.1_c81
Pdamicorni_82	bu_91849.1_c82
Pdamicorni_83	bu_91849.1_c83
Pdamicorni_84	bu_91849.1_c84
Pdamicorni_85	bu_91849.1_c85
Pdamicorni_86	bu_91849.1_c86
Pdamicorni_87	bu_91849.1_c87
Pdamicorni_88	bu_91849.1_c88
Pdamicorni_89	bu_91849.1_c89
Pdamicorni_90	bu_91849.1_c90
Pdamicorni_91	bu_91849.1_c91
Pdamicorni_92	bu_91849.1_c92
Pdamicorni_93	bu_91849.1_c93
Pdamicorni_94	bu_91849.1_c94
Pdamicorni_95	bu_91849.1_c95
Pdamicorni_96	bu_91849.1_c96
Pdamicorni_97	bu_91849.1_c97
Pdamicorni_98	bu_91849.1_c98
Pdamicorni_99	bu_91849.1_c99
Pdamicorni_100	bu_91849.1_c100
Pdamicorni_101	bu_91849.1_c101
Pdamicorni_102	bu_91849.1_c102
Pdamicorni_103	bu_91849.1_c103
Pdamicorni_104	bu_91849.1_c104
Pdamicorni_105	bu_91849.1_c105
Pdamicorni_106	bu_91849.1_c106
Pdamicorni_107	bu_91849.1_c107
Pdamicorni_108	bu_91849.1_c108
Pdamicorni_109	bu_91849.1_c109
Pdamicorni_110	bu_91849.1_c110
Pdamicorni_111	bu_91849.1_c111
Pdamicorni_112	bu_91849.1_c112
Pdamicorni_113	bu_91849.1_c113
Pdamicorni_114	bu_91849.1_c114
Pdamicorni_115	bu_91849.1_c115
Pdamicorni_116	bu_91849.1_c116
Pdamicorni_117	bu_91849.1_c117
Pdamicorni_118	bu_91849.1_c118
Pdamicorni_119	bu_91849.1_c119
Pdamicorni_120	bu_91849.1_c120
Pdamicorni_121	bu_91849.1_c121
Pdamicorni_122	bu_91849.1_c122
Pdamicorni_123	bu_91849.1_c123
Pdamicorni_124	bu_91849.1_c124
Pdamicorni_125	bu_91849.1_c125
Pdamicorni_126	bu_91849.1_c126
Pdamicorni_127	bu_91849.1_c127
Pdamicorni_128	bu_91849.1_c128
Pdamicorni_129	bu_91849.1_c129
Pdamicorni_130	bu_91849.1_c130
Pdamicorni_131	bu_91849.1_c131
Pdamicorni_132	bu_91849.1_c132
Pdamicorni_133	bu_91849.1_c133
Pdamicorni_134	bu_91849.1_c134
Pdamicorni_135	bu_91849.1_c135
Pdamicorni_136	bu_91849.1_c136
Pdamicorni_137	bu_91849.1_c137
Pdamicorni_138	bu_91849.1_c138
Pdamicorni_139	bu_91849.1_c139
Pdamicorni_140	bu_91849.1_c140
Pdamicorni_141	bu_91849.1_c141
Pdamicorni_142	bu_91849.1_c142
Pdamicorni_143	bu_91849.1_c143
Pdamicorni_144	bu_91849.1_c144
Pdamicorni_145	bu_91849.1_c145
Pdamicorni_146	bu_91849.1_c146
Pdamicorni_147	bu_91849.1_c147
Pdamicorni_148	bu_91849.1_c148
Pdamicorni_149	bu_91849.1_c149
Pdamicorni_150	bu_91849.1_c150
Pdamicorni_151	bu_91849.1_c151
Pdamicorni_152	bu_91849.1_c152
Pdamicorni_153	bu_91849.1_c153
Pdamicorni_154	bu_91849.1_c154
Pdamicorni_155	bu_91849.1_c155
Pdamicorni_156	bu_91849.1_c156
Pdamicorni_157	bu_91849.1_c157
Pdamicorni_158	bu_91849.1_c158
Pdamicorni_159	bu_91849.1_c159
Pdamicorni_160	bu_91849.1_c160
Pdamicorni_161	bu_91849.1_c161
