Plobata_1	c90110_g1_i1
Plobata_2	c90228_g1_i1
Plobata_3	c90157_g1_i1
Plobata_4	c90734_g1_i1
Plobata_5	c90802_g1_i1
Plobata_6	c90505_g1_i1
Plobata_7	c90766_g1_i1
Plobata_8	c90756_g1_i1
Plobata_9	c148039_g1_i1
Plobata_10	c148033_g1_i1
Plobata_11	c149013_g1_i1
Plobata_12	c148488_g1_i1
Plobata_13	c148577_g1_i1
Plobata_14	c148640_g1_i1
Plobata_15	c148079_g1_i1
Plobata_16	c148696_g1_i1
Plobata_17	c148246_g1_i1
Plobata_18	c148203_g1_i1
Plobata_19	c148605_g1_i1
Plobata_20	c148474_g1_i1
Plobata_21	c148589_g1_i1
Plobata_22	c148703_g1_i1
Plobata_23	c148694_g1_i1
Plobata_24	c148300_g1_i1
Plobata_25	c148770_g1_i1
Plobata_26	c148285_g1_i1
Plobata_27	c148689_g1_i1
Plobata_28	c148121_g1_i1
Plobata_29	c148993_g1_i1
Plobata_30	c148309_g1_i1
Plobata_31	c148236_g1_i1
Plobata_32	c148104_g1_i1
Plobata_33	c148837_g1_i1
Plobata_34	c141759_g1_i1
Plobata_35	c141788_g1_i1
Plobata_36	c141195_g1_i1
Plobata_37	c141116_g1_i1
Plobata_38	c141949_g1_i1
Plobata_39	c141692_g1_i1
Plobata_40	c141805_g1_i1
Plobata_41	c141591_g1_i1
Plobata_42	c141699_g1_i1
Plobata_43	c141562_g1_i1
Plobata_44	c141507_g1_i1
Plobata_45	c141721_g1_i1
Plobata_46	c141373_g1_i1
Plobata_47	c141182_g1_i1
Plobata_48	c141334_g1_i1
Plobata_49	c141875_g1_i1
Plobata_50	c141955_g1_i1
Plobata_51	c141252_g1_i1
Plobata_52	c141656_g1_i1
Plobata_53	c141828_g1_i1
Plobata_54	c141112_g1_i1
Plobata_55	c141780_g1_i1
Plobata_56	c141095_g1_i1
Plobata_57	c141807_g1_i1
Plobata_58	c141680_g1_i1
Plobata_59	c141251_g1_i1
Plobata_60	c141240_g1_i1
Plobata_61	c141338_g1_i1
Plobata_62	c141661_g1_i1
Plobata_63	c141914_g1_i1
Plobata_64	c141876_g1_i1
Plobata_65	c141585_g1_i1
Plobata_66	c141689_g1_i1
Plobata_67	c141208_g1_i1
Plobata_68	c141437_g1_i1
Plobata_69	c158813_g1_i1
Plobata_70	c158242_g1_i1
Plobata_71	c158675_g1_i1
Plobata_72	c158257_g1_i1
Plobata_73	c158457_g1_i1
Plobata_74	c158734_g1_i1
Plobata_75	c158770_g1_i1
Plobata_76	c159023_g1_i1
Plobata_77	c158316_g1_i1
Plobata_78	c158484_g1_i1
Plobata_79	c158979_g1_i1
Plobata_80	c158638_g1_i1
Plobata_81	c158670_g1_i1
Plobata_82	c158446_g1_i1
Plobata_83	c158970_g1_i1
Plobata_84	c158173_g1_i1
Plobata_85	c158359_g1_i1
Plobata_86	c158682_g1_i1
Plobata_87	c158542_g1_i1
Plobata_88	c158177_g1_i1
Plobata_89	c158351_g1_i1
Plobata_90	c158946_g1_i1
Plobata_91	c158089_g1_i1
Plobata_92	c158244_g1_i1
Plobata_93	c158219_g1_i1
Plobata_94	c158863_g1_i1
Plobata_95	c158397_g1_i1
Plobata_96	c158690_g1_i1
Plobata_97	c158768_g1_i1
Plobata_98	c158254_g1_i1
Plobata_99	c159035_g1_i1
Plobata_100	c158865_g1_i1
Plobata_101	c158370_g1_i1
Plobata_102	c158160_g1_i1
Plobata_103	c158826_g1_i1
Plobata_104	c69584_g1_i1
Plobata_105	c69522_g1_i1
Plobata_106	c69728_g1_i1
Plobata_107	c69291_g1_i1
Plobata_108	c69735_g1_i1
Plobata_109	c69297_g1_i1
Plobata_110	c69980_g1_i1
Plobata_111	c69947_g1_i1
Plobata_112	c69400_g1_i1
Plobata_113	c69971_g1_i1
Plobata_114	c69310_g1_i1
Plobata_115	c69853_g1_i1
Plobata_116	c69754_g1_i1
Plobata_117	c69958_g1_i1
Plobata_118	c69572_g1_i1
Plobata_119	c69948_g1_i1
Plobata_120	c69244_g1_i1
Plobata_121	c69623_g1_i1
Plobata_122	c69298_g1_i1
Plobata_123	c69565_g1_i1
Plobata_124	c69279_g1_i1
Plobata_125	c69290_g1_i1
Plobata_126	c69262_g1_i1
Plobata_127	c69514_g1_i1
Plobata_128	c69604_g1_i1
Plobata_129	c70044_g1_i1
Plobata_130	c69120_g1_i1
Plobata_131	c69616_g1_i1
Plobata_132	c70041_g1_i1
Plobata_133	c69642_g1_i1
Plobata_134	c70055_g1_i1
Plobata_135	c69201_g1_i1
Plobata_136	c69438_g1_i1
Plobata_137	c69164_g1_i1
Plobata_138	c69390_g1_i1
Plobata_139	c69390_g1_i2
Plobata_140	c69081_g1_i1
Plobata_141	c69570_g1_i1
Plobata_142	c69591_g1_i1
Plobata_143	c69571_g1_i1
Plobata_144	c69801_g1_i1
Plobata_145	c69405_g1_i1
Plobata_146	c69085_g1_i1
Plobata_147	c69598_g1_i1
Plobata_148	c69528_g1_i1
Plobata_149	c69089_g1_i1
Plobata_150	c69092_g1_i1
Plobata_151	c70024_g1_i1
Plobata_152	c70043_g1_i1
Plobata_153	c69579_g1_i1
Plobata_154	c69742_g1_i1
Plobata_155	c69426_g1_i1
Plobata_156	c105056_g1_i1
Plobata_157	c105696_g1_i1
Plobata_158	c105700_g1_i1
Plobata_159	c105129_g1_i1
Plobata_160	c105392_g1_i1
Plobata_161	c105484_g1_i1
Plobata_162	c105560_g1_i1
Plobata_163	c105679_g1_i1
Plobata_164	c105468_g1_i1
Plobata_165	c106047_g1_i1
Plobata_166	c105203_g1_i1
Plobata_167	c105915_g1_i1
