Pstrigosa_1	comp52735_c0_seq5
Pstrigosa_2	comp56112_c0_seq3
Pstrigosa_3	comp46207_c0_seq1
Pstrigosa_4	comp48743_c0_seq1
Pstrigosa_5	comp49549_c0_seq1
Pstrigosa_6	comp56878_c0_seq2
Pstrigosa_7	comp46326_c0_seq3
Pstrigosa_8	comp57564_c0_seq1
Pstrigosa_9	comp47221_c0_seq3
Pstrigosa_10	comp49190_c0_seq2
Pstrigosa_11	comp48241_c0_seq3
Pstrigosa_12	comp55415_c0_seq4
Pstrigosa_13	comp54354_c0_seq1
Pstrigosa_14	comp55652_c0_seq1
Pstrigosa_15	comp57582_c0_seq1
Pstrigosa_16	comp46692_c0_seq2
Pstrigosa_17	comp54323_c0_seq1
Pstrigosa_18	comp57267_c0_seq2
Pstrigosa_19	comp57722_c0_seq1
Pstrigosa_20	comp46515_c0_seq2
Pstrigosa_21	comp49542_c1_seq2
Pstrigosa_22	comp57114_c0_seq1
Pstrigosa_23	comp45994_c0_seq4
Pstrigosa_24	comp46624_c0_seq1
Pstrigosa_25	comp49107_c1_seq1
Pstrigosa_26	comp51979_c0_seq2
Pstrigosa_27	comp49117_c0_seq1
Pstrigosa_28	comp48709_c0_seq1
Pstrigosa_29	comp56917_c0_seq1
Pstrigosa_30	comp54195_c0_seq1
Pstrigosa_31	comp55133_c0_seq2
Pstrigosa_32	comp53385_c0_seq5
Pstrigosa_33	comp57657_c0_seq1
Pstrigosa_34	comp50017_c0_seq2
Pstrigosa_35	comp53389_c0_seq1
Pstrigosa_36	comp47338_c0_seq2
Pstrigosa_37	comp58527_c0_seq2
Pstrigosa_38	comp49799_c0_seq2
Pstrigosa_39	comp51870_c0_seq3
Pstrigosa_40	comp50324_c0_seq1
Pstrigosa_41	comp50512_c0_seq2
Pstrigosa_42	comp52101_c0_seq1
Pstrigosa_43	comp58094_c0_seq1
Pstrigosa_44	comp48493_c0_seq1
Pstrigosa_45	comp52989_c0_seq1
Pstrigosa_46	comp48730_c0_seq2
Pstrigosa_47	comp49759_c0_seq3
Pstrigosa_48	comp48965_c0_seq9
Pstrigosa_49	comp49870_c0_seq1
Pstrigosa_50	comp49452_c0_seq1
Pstrigosa_51	comp53697_c0_seq2
Pstrigosa_52	comp54029_c0_seq8
Pstrigosa_53	comp54779_c0_seq3
Pstrigosa_54	comp52904_c0_seq1
Pstrigosa_55	comp51416_c0_seq1
Pstrigosa_56	comp51713_c0_seq1
