Spistillat_1	Spi_contig00032
Spistillat_2	Spi_contig00035
Spistillat_3	Spi_contig00040
Spistillat_4	Spi_contig00044
Spistillat_5	Spi_contig00046
Spistillat_6	Spi_contig00075
Spistillat_7	Spi_contig00091
Spistillat_8	Spi_contig00094
Spistillat_9	Spi_contig00095
Spistillat_10	Spi_contig00098
Spistillat_11	Spi_contig00103
Spistillat_12	Spi_contig00108
Spistillat_13	Spi_contig00200
Spistillat_14	Spi_contig00834
Spistillat_15	Spi_contig00842
Spistillat_16	Spi_isotig00001
Spistillat_17	Spi_isotig00002
Spistillat_18	Spi_isotig00003
Spistillat_19	Spi_isotig00004
Spistillat_20	Spi_isotig00005
Spistillat_21	Spi_isotig00006
Spistillat_22	Spi_isotig00007
Spistillat_23	Spi_isotig00008
Spistillat_24	Spi_isotig00009
Spistillat_25	Spi_isotig00010
Spistillat_26	Spi_isotig00011
Spistillat_27	Spi_isotig00012
Spistillat_28	Spi_isotig00013
Spistillat_29	Spi_isotig00014
Spistillat_30	Spi_isotig00015
Spistillat_31	Spi_isotig00016
Spistillat_32	Spi_isotig00017
Spistillat_33	Spi_isotig00018
Spistillat_34	Spi_isotig00019
Spistillat_35	Spi_isotig00020
Spistillat_36	Spi_isotig00021
Spistillat_37	Spi_isotig00022
Spistillat_38	Spi_isotig00023
Spistillat_39	Spi_isotig00024
Spistillat_40	Spi_isotig00025
Spistillat_41	Spi_isotig00026
Spistillat_42	Spi_isotig00027
Spistillat_43	Spi_isotig00028
Spistillat_44	Spi_isotig00029
Spistillat_45	Spi_isotig00030
Spistillat_46	Spi_isotig00031
Spistillat_47	Spi_isotig00032
Spistillat_48	Spi_isotig00033
Spistillat_49	Spi_isotig00034
Spistillat_50	Spi_isotig00035
Spistillat_51	Spi_isotig00036
Spistillat_52	Spi_isotig00037
Spistillat_53	Spi_isotig00038
Spistillat_54	Spi_isotig00039
Spistillat_55	Spi_isotig00040
Spistillat_56	Spi_isotig00041
Spistillat_57	Spi_isotig00042
Spistillat_58	Spi_isotig00043
Spistillat_59	Spi_isotig00044
Spistillat_60	Spi_isotig00045
Spistillat_61	Spi_isotig00046
Spistillat_62	Spi_isotig00047
Spistillat_63	Spi_isotig00048
Spistillat_64	Spi_isotig00049
Spistillat_65	Spi_isotig00050
Spistillat_66	Spi_isotig00051
Spistillat_67	Spi_isotig00052
Spistillat_68	Spi_isotig00053
Spistillat_69	Spi_isotig00054
Spistillat_70	Spi_isotig00055
Spistillat_71	Spi_isotig00056
Spistillat_72	Spi_isotig00057
Spistillat_73	Spi_isotig00058
Spistillat_74	Spi_isotig00059
Spistillat_75	Spi_isotig00060
Spistillat_76	Spi_isotig00061
Spistillat_77	Spi_isotig00062
Spistillat_78	Spi_isotig00063
Spistillat_79	Spi_isotig00064
Spistillat_80	Spi_isotig00065
Spistillat_81	Spi_isotig00066
Spistillat_82	Spi_isotig00067
Spistillat_83	Spi_isotig00068
Spistillat_84	Spi_isotig00069
Spistillat_85	Spi_isotig00070
Spistillat_86	Spi_isotig00071
Spistillat_87	Spi_isotig00072
Spistillat_88	Spi_isotig00073
Spistillat_89	Spi_isotig00074
Spistillat_90	Spi_isotig00075
Spistillat_91	Spi_isotig00076
Spistillat_92	Spi_isotig00077
Spistillat_93	Spi_isotig00078
Spistillat_94	Spi_isotig00079
Spistillat_95	Spi_isotig00080
Spistillat_96	Spi_isotig00081
Spistillat_97	Spi_isotig00082
Spistillat_98	Spi_isotig00083
Spistillat_99	Spi_isotig00084
Spistillat_100	Spi_isotig00085
Spistillat_101	Spi_isotig00086
Spistillat_102	Spi_isotig00087
Spistillat_103	Spi_isotig00088
Spistillat_104	Spi_isotig00089
Spistillat_105	Spi_isotig00090
Spistillat_106	Spi_isotig00091
Spistillat_107	Spi_isotig00092
Spistillat_108	Spi_isotig00093
Spistillat_109	Spi_isotig00094
Spistillat_110	Spi_isotig00095
Spistillat_111	Spi_isotig00096
Spistillat_112	Spi_isotig00097
Spistillat_113	Spi_isotig00098
Spistillat_114	Spi_isotig00099
Spistillat_115	Spi_isotig00100
Spistillat_116	Spi_isotig00101
Spistillat_117	Spi_isotig00102
Spistillat_118	Spi_isotig00103
Spistillat_119	Spi_isotig00104
Spistillat_120	Spi_isotig00105
Spistillat_121	Spi_isotig00106
Spistillat_122	Spi_isotig00107
Spistillat_123	Spi_isotig00108
Spistillat_124	Spi_isotig00109
Spistillat_125	Spi_isotig00110
Spistillat_126	Spi_isotig00111
Spistillat_127	Spi_isotig00112
Spistillat_128	Spi_isotig00113
Spistillat_129	Spi_isotig00114
Spistillat_130	Spi_isotig00115
Spistillat_131	Spi_isotig00116
Spistillat_132	Spi_isotig00117
Spistillat_133	Spi_isotig00118
Spistillat_134	Spi_isotig00119
Spistillat_135	Spi_isotig00120
Spistillat_136	Spi_isotig00121
Spistillat_137	Spi_isotig00122
Spistillat_138	Spi_isotig00123
Spistillat_139	Spi_isotig00124
Spistillat_140	Spi_isotig00125
Spistillat_141	Spi_isotig00126
Spistillat_142	Spi_isotig00127
Spistillat_143	Spi_isotig00128
Spistillat_144	Spi_isotig00129
Spistillat_145	Spi_isotig00130
Spistillat_146	Spi_isotig00131
Spistillat_147	Spi_isotig00132
Spistillat_148	Spi_isotig00133
Spistillat_149	Spi_isotig00134
Spistillat_150	Spi_isotig00135
Spistillat_151	Spi_isotig00136
Spistillat_152	Spi_isotig00137
Spistillat_153	Spi_isotig00138
Spistillat_154	Spi_isotig00139
Spistillat_155	Spi_isotig00140
Spistillat_156	Spi_isotig00141
Spistillat_157	Spi_isotig00142
Spistillat_158	Spi_isotig00143
Spistillat_159	Spi_isotig00144
Spistillat_160	Spi_isotig00145
Spistillat_161	Spi_isotig00146
Spistillat_162	Spi_isotig00147
Spistillat_163	Spi_isotig00148
Spistillat_164	Spi_isotig00149
Spistillat_165	Spi_isotig00150
Spistillat_166	Spi_isotig00151
Spistillat_167	Spi_isotig00152
