Ssiderea_1	comp30_c0_seq1
Ssiderea_2	comp127_c0_seq1
Ssiderea_3	comp347_c0_seq3
Ssiderea_4	comp377_c0_seq2
Ssiderea_5	comp520_c0_seq1
Ssiderea_6	comp520_c0_seq2
Ssiderea_7	comp736_c0_seq1
Ssiderea_8	comp736_c0_seq2
Ssiderea_9	comp1077_c0_seq1
Ssiderea_10	comp1266_c0_seq1
Ssiderea_11	comp1402_c0_seq1
Ssiderea_12	comp1460_c0_seq1
Ssiderea_13	comp1790_c0_seq1
Ssiderea_14	comp2018_c0_seq2
Ssiderea_15	comp2104_c0_seq1
Ssiderea_16	comp2243_c0_seq1
Ssiderea_17	comp2323_c0_seq1
Ssiderea_18	comp2583_c0_seq1
Ssiderea_19	comp2586_c0_seq1
Ssiderea_20	comp2627_c0_seq1
Ssiderea_21	comp2657_c0_seq1
Ssiderea_22	comp2790_c0_seq1
Ssiderea_23	comp3045_c0_seq1
Ssiderea_24	comp3310_c0_seq1
Ssiderea_25	comp3336_c0_seq1
Ssiderea_26	comp3336_c0_seq2
Ssiderea_27	comp3346_c0_seq1
Ssiderea_28	comp3568_c0_seq2
Ssiderea_29	comp4057_c0_seq1
Ssiderea_30	comp4066_c0_seq1
Ssiderea_31	comp4185_c0_seq1
Ssiderea_32	comp5054_c0_seq1
Ssiderea_33	comp5178_c0_seq1
Ssiderea_34	comp5290_c0_seq1
Ssiderea_35	comp5357_c0_seq1
Ssiderea_36	comp5541_c0_seq1
Ssiderea_37	comp5654_c0_seq1
Ssiderea_38	comp5907_c0_seq1
Ssiderea_39	comp6403_c0_seq1
Ssiderea_40	comp6531_c0_seq1
Ssiderea_41	comp6716_c0_seq2
Ssiderea_42	comp6754_c0_seq1
Ssiderea_43	comp6814_c0_seq1
Ssiderea_44	comp6981_c0_seq1
Ssiderea_45	comp7055_c0_seq1
Ssiderea_46	comp7703_c0_seq1
Ssiderea_47	comp7722_c0_seq1
Ssiderea_48	comp7784_c0_seq1
Ssiderea_49	comp7797_c0_seq1
Ssiderea_50	comp8126_c0_seq1
Ssiderea_51	comp8655_c0_seq1
Ssiderea_52	comp8719_c0_seq1
Ssiderea_53	comp8772_c0_seq1
Ssiderea_54	comp8775_c0_seq1
Ssiderea_55	comp9038_c0_seq1
Ssiderea_56	comp9193_c0_seq1
Ssiderea_57	comp9193_c0_seq2
Ssiderea_58	comp9213_c0_seq1
Ssiderea_59	comp9450_c0_seq1
Ssiderea_60	comp9459_c0_seq1
Ssiderea_61	comp9621_c0_seq1
Ssiderea_62	comp9869_c0_seq1
Ssiderea_63	comp10945_c0_seq1
Ssiderea_64	comp10994_c0_seq2
Ssiderea_65	comp11027_c0_seq1
Ssiderea_66	comp11051_c0_seq1
Ssiderea_67	comp11079_c0_seq1
Ssiderea_68	comp11241_c0_seq1
Ssiderea_69	comp11311_c0_seq1
Ssiderea_70	comp11426_c0_seq1
Ssiderea_71	comp11820_c0_seq1
Ssiderea_72	comp11846_c0_seq1
Ssiderea_73	comp11854_c0_seq1
Ssiderea_74	comp12186_c0_seq1
Ssiderea_75	comp12226_c0_seq1
Ssiderea_76	comp12657_c0_seq1
Ssiderea_77	comp12768_c0_seq1
Ssiderea_78	comp13195_c0_seq1
Ssiderea_79	comp13370_c0_seq1
Ssiderea_80	comp13466_c0_seq1
Ssiderea_81	comp13533_c0_seq1
Ssiderea_82	comp14458_c0_seq1
Ssiderea_83	comp14629_c0_seq1
Ssiderea_84	comp14729_c0_seq1
Ssiderea_85	comp14792_c0_seq1
Ssiderea_86	comp14793_c0_seq1
Ssiderea_87	comp14824_c0_seq1
Ssiderea_88	comp14824_c0_seq2
Ssiderea_89	comp14872_c0_seq1
Ssiderea_90	comp14980_c0_seq1
Ssiderea_91	comp15885_c0_seq1
Ssiderea_92	comp16093_c0_seq1
Ssiderea_93	comp16275_c0_seq1
Ssiderea_94	comp16385_c0_seq1
Ssiderea_95	comp16519_c0_seq1
Ssiderea_96	comp16867_c0_seq1
Ssiderea_97	comp17048_c0_seq1
Ssiderea_98	comp17214_c0_seq1
Ssiderea_99	comp17333_c0_seq1
Ssiderea_100	comp17652_c0_seq1
