Paustralie_1	FX803256.1
Paustralie_2	FX803255.1
Paustralie_3	FX803254.1
Paustralie_4	FX803253.1
Paustralie_5	FX803252.1
Paustralie_6	FX803251.1
Paustralie_7	FX803250.1
Paustralie_8	FX803249.1
Paustralie_9	FX803248.1
Paustralie_10	FX803247.1
Paustralie_11	FX803246.1
Paustralie_12	FX803245.1
Paustralie_13	FX803244.1
Paustralie_14	FX803243.1
Paustralie_15	FX803242.1
Paustralie_16	FX803241.1
Paustralie_17	FX803240.1
Paustralie_18	FX803239.1
Paustralie_19	FX803238.1
Paustralie_20	FX803237.1
Paustralie_21	FX803236.1
Paustralie_22	FX803235.1
Paustralie_23	FX803234.1
Paustralie_24	FX803233.1
Paustralie_25	FX803232.1
Paustralie_26	FX803231.1
Paustralie_27	FX803230.1
Paustralie_28	FX803229.1
Paustralie_29	FX803228.1
Paustralie_30	FX803227.1
Paustralie_31	FX803226.1
Paustralie_32	FX803225.1
Paustralie_33	FX803224.1
Paustralie_34	FX803223.1
Paustralie_35	FX803222.1
Paustralie_36	FX803221.1
Paustralie_37	FX803220.1
Paustralie_38	FX803219.1
Paustralie_39	FX803218.1
Paustralie_40	FX803217.1
Paustralie_41	FX803216.1
Paustralie_42	FX803215.1
Paustralie_43	FX803214.1
Paustralie_44	FX803213.1
Paustralie_45	FX803212.1
Paustralie_46	FX803211.1
Paustralie_47	FX803210.1
Paustralie_48	FX803209.1
Paustralie_49	FX803208.1
Paustralie_50	FX803207.1
Paustralie_51	FX803206.1
Paustralie_52	FX803205.1
Paustralie_53	FX803204.1
Paustralie_54	FX803203.1
Paustralie_55	FX803202.1
Paustralie_56	FX803201.1
Paustralie_57	FX803200.1
Paustralie_58	FX803199.1
Paustralie_59	FX803198.1
Paustralie_60	FX803197.1
Paustralie_61	FX803196.1
Paustralie_62	FX803195.1
Paustralie_63	FX803194.1
Paustralie_64	FX803193.1
Paustralie_65	FX803192.1
Paustralie_66	FX803191.1
Paustralie_67	FX803190.1
Paustralie_68	FX803189.1
Paustralie_69	FX803188.1
Paustralie_70	FX803187.1
Paustralie_71	FX803186.1
Paustralie_72	FX803185.1
Paustralie_73	FX803184.1
Paustralie_74	FX803183.1
Paustralie_75	FX803182.1
Paustralie_76	FX803181.1
Paustralie_77	FX803180.1
Paustralie_78	FX803179.1
Paustralie_79	FX803178.1
Paustralie_80	FX803177.1
Paustralie_81	FX803176.1
Paustralie_82	FX803175.1
Paustralie_83	FX803174.1
Paustralie_84	FX803173.1
Paustralie_85	FX803172.1
Paustralie_86	FX803171.1
Paustralie_87	FX803170.1
Paustralie_88	FX803169.1
Paustralie_89	FX803168.1
Paustralie_90	FX803167.1
Paustralie_91	FX803166.1
Paustralie_92	FX803165.1
Paustralie_93	FX803164.1
Paustralie_94	FX803163.1
Paustralie_95	FX803162.1
Paustralie_96	FX803161.1
Paustralie_97	FX803160.1
Paustralie_98	FX803159.1
Paustralie_99	FX803158.1
Paustralie_100	FX803157.1
Paustralie_101	FX803156.1
Paustralie_102	FX803155.1
Paustralie_103	FX803154.1
Paustralie_104	FX803153.1
Paustralie_105	FX803152.1
Paustralie_106	FX803151.1
Paustralie_107	FX803150.1
Paustralie_108	FX803149.1
Paustralie_109	FX803148.1
Paustralie_110	FX803147.1
Paustralie_111	FX803146.1
Paustralie_112	FX803145.1
Paustralie_113	FX803144.1
Paustralie_114	FX803143.1
Paustralie_115	FX803142.1
Paustralie_116	FX803141.1
Paustralie_117	FX803140.1
Paustralie_118	FX803139.1
Paustralie_119	FX803138.1
Paustralie_120	FX803137.1
Paustralie_121	FX803136.1
Paustralie_122	FX803135.1
Paustralie_123	FX803134.1
Paustralie_124	FX803133.1
Paustralie_125	FX803132.1
Paustralie_126	FX803131.1
Paustralie_127	FX803130.1
Paustralie_128	FX803129.1
Paustralie_129	FX803128.1
Paustralie_130	FX803127.1
Paustralie_131	FX803126.1
Paustralie_132	FX803125.1
Paustralie_133	FX803124.1
Paustralie_134	FX803123.1
Paustralie_135	FX803122.1
Paustralie_136	FX803121.1
Paustralie_137	FX803120.1
Paustralie_138	FX803119.1
Paustralie_139	FX803118.1
Paustralie_140	FX803117.1
Paustralie_141	FX803116.1
Paustralie_142	FX803115.1
Paustralie_143	FX803114.1
Paustralie_144	FX803113.1
Paustralie_145	FX803112.1
Paustralie_146	FX803111.1
Paustralie_147	FX803110.1
Paustralie_148	FX803109.1
Paustralie_149	FX803108.1
Paustralie_150	FX803107.1
Paustralie_151	FX803106.1
Paustralie_152	FX803105.1
Paustralie_153	FX803104.1
Paustralie_154	FX803103.1
Paustralie_155	FX803102.1
Paustralie_156	FX803101.1
Paustralie_157	FX803100.1
Paustralie_158	FX803099.1
Paustralie_159	FX803098.1
Paustralie_160	FX803097.1
Paustralie_161	FX803096.1
Paustralie_162	FX803095.1
Paustralie_163	FX803094.1
Paustralie_164	FX803093.1
Paustralie_165	FX803092.1
Paustralie_166	FX803091.1
Paustralie_167	FX803090.1
Paustralie_168	FX803089.1
Paustralie_169	FX803088.1
Paustralie_170	FX803087.1
Paustralie_171	FX803086.1
Paustralie_172	FX803085.1
Paustralie_173	FX803084.1
Paustralie_174	FX803083.1
Paustralie_175	FX803082.1
Paustralie_176	FX803081.1
Paustralie_177	FX803080.1
Paustralie_178	FX803079.1
Paustralie_179	FX803078.1
Paustralie_180	FX803077.1
Paustralie_181	FX803076.1
Paustralie_182	FX803075.1
Paustralie_183	FX803074.1
Paustralie_184	FX803073.1
Paustralie_185	FX803072.1
Paustralie_186	FX803071.1
Paustralie_187	FX803070.1
Paustralie_188	FX803069.1
Paustralie_189	FX803068.1
Paustralie_190	FX803067.1
Paustralie_191	FX803066.1
Paustralie_192	FX803065.1
Paustralie_193	FX803064.1
Paustralie_194	FX803063.1
Paustralie_195	FX803062.1
Paustralie_196	FX803061.1
Paustralie_197	FX803060.1
Paustralie_198	FX803059.1
Paustralie_199	FX803058.1
Paustralie_200	FX803057.1
Paustralie_201	FX803056.1
Paustralie_202	FX803055.1
Paustralie_203	FX803054.1
Paustralie_204	FX803053.1
Paustralie_205	FX803052.1
Paustralie_206	FX803051.1
Paustralie_207	FX803050.1
Paustralie_208	FX803049.1
Paustralie_209	FX803048.1
Paustralie_210	FX803047.1
Paustralie_211	FX803046.1
Paustralie_212	FX803045.1
Paustralie_213	FX803044.1
Paustralie_214	FX803043.1
Paustralie_215	FX803042.1
Paustralie_216	FX803041.1
Paustralie_217	FX803040.1
Paustralie_218	FX803039.1
Paustralie_219	FX803038.1
Paustralie_220	FX803037.1
Paustralie_221	FX803036.1
Paustralie_222	FX803035.1
Paustralie_223	FX803034.1
Paustralie_224	FX803033.1
Paustralie_225	FX803032.1
Paustralie_226	FX803031.1
Paustralie_227	FX803030.1
Paustralie_228	FX803029.1
Paustralie_229	FX803028.1
Paustralie_230	FX803027.1
Paustralie_231	FX803026.1
Paustralie_232	FX803025.1
Paustralie_233	FX803024.1
Paustralie_234	FX803023.1
Paustralie_235	FX803022.1
Paustralie_236	FX803021.1
Paustralie_237	FX803020.1
Paustralie_238	FX803019.1
Paustralie_239	FX803018.1
Paustralie_240	FX803017.1
Paustralie_241	FX803016.1
Paustralie_242	FX803015.1
Paustralie_243	FX803014.1
Paustralie_244	FX803013.1
Paustralie_245	FX803012.1
Paustralie_246	FX803011.1
Paustralie_247	FX803010.1
Paustralie_248	FX803009.1
Paustralie_249	FX803008.1
Paustralie_250	FX803007.1
Paustralie_251	FX803006.1
Paustralie_252	FX803005.1
Paustralie_253	FX803004.1
Paustralie_254	FX803003.1
Paustralie_255	FX803002.1
Paustralie_256	FX803001.1
Paustralie_257	FX803000.1
Paustralie_258	FX802999.1
Paustralie_259	FX802998.1
Paustralie_260	FX802997.1
Paustralie_261	FX802996.1
Paustralie_262	FX802995.1
Paustralie_263	FX802994.1
Paustralie_264	FX802993.1
Paustralie_265	FX802992.1
Paustralie_266	FX802991.1
Paustralie_267	FX802990.1
Paustralie_268	FX802989.1
Paustralie_269	FX802988.1
Paustralie_270	FX802987.1
Paustralie_271	FX802986.1
Paustralie_272	FX802985.1
Paustralie_273	FX802984.1
Paustralie_274	FX802983.1
Paustralie_275	FX802982.1
Paustralie_276	FX802981.1
Paustralie_277	FX802980.1
Paustralie_278	FX802979.1
Paustralie_279	FX802978.1
Paustralie_280	FX802977.1
Paustralie_281	FX802976.1
Paustralie_282	FX802975.1
Paustralie_283	FX802974.1
Paustralie_284	FX802973.1
Paustralie_285	FX802972.1
Paustralie_286	FX802971.1
Paustralie_287	FX802970.1
Paustralie_288	FX802969.1
Paustralie_289	FX802968.1
Paustralie_290	FX802967.1
Paustralie_291	FX802966.1
Paustralie_292	FX802965.1
Paustralie_293	FX802964.1
Paustralie_294	FX802963.1
Paustralie_295	FX802962.1
Paustralie_296	FX802961.1
Paustralie_297	FX802960.1
Paustralie_298	FX802959.1
Paustralie_299	FX802958.1
Paustralie_300	FX802957.1
Paustralie_301	FX802956.1
Paustralie_302	FX802955.1
Paustralie_303	FX802954.1
Paustralie_304	FX802953.1
Paustralie_305	FX802952.1
Paustralie_306	FX802951.1
Paustralie_307	FX802950.1
Paustralie_308	FX802949.1
Paustralie_309	FX802948.1
Paustralie_310	FX802947.1
Paustralie_311	FX802946.1
Paustralie_312	FX802945.1
Paustralie_313	FX802944.1
Paustralie_314	FX802943.1
Paustralie_315	FX802942.1
Paustralie_316	FX802941.1
Paustralie_317	FX802940.1
Paustralie_318	FX802939.1
Paustralie_319	FX802938.1
Paustralie_320	FX802937.1
Paustralie_321	FX802936.1
Paustralie_322	FX802935.1
Paustralie_323	FX802934.1
Paustralie_324	FX802933.1
Paustralie_325	FX802932.1
Paustralie_326	FX802931.1
Paustralie_327	FX802930.1
Paustralie_328	FX802929.1
Paustralie_329	FX802928.1
Paustralie_330	FX802927.1
Paustralie_331	FX802926.1
Paustralie_332	FX802925.1
Paustralie_333	FX802924.1
Paustralie_334	FX802923.1
Paustralie_335	FX802922.1
Paustralie_336	FX802921.1
Paustralie_337	FX802920.1
Paustralie_338	FX802919.1
Paustralie_339	FX802918.1
Paustralie_340	FX802917.1
Paustralie_341	FX802916.1
Paustralie_342	FX802915.1
Paustralie_343	FX802914.1
Paustralie_344	FX802913.1
Paustralie_345	FX802912.1
Paustralie_346	FX802911.1
Paustralie_347	FX802910.1
Paustralie_348	FX802909.1
Paustralie_349	FX802908.1
Paustralie_350	FX802907.1
Paustralie_351	FX802906.1
Paustralie_352	FX802905.1
Paustralie_353	FX802904.1
Paustralie_354	FX802903.1
Paustralie_355	FX802902.1
Paustralie_356	FX802901.1
Paustralie_357	FX802900.1
Paustralie_358	FX802899.1
Paustralie_359	FX802898.1
Paustralie_360	FX802897.1
Paustralie_361	FX802896.1
Paustralie_362	FX802895.1
Paustralie_363	FX802894.1
Paustralie_364	FX802893.1
Paustralie_365	FX802892.1
Paustralie_366	FX802891.1
Paustralie_367	FX802890.1
Paustralie_368	FX802889.1
Paustralie_369	FX802888.1
Paustralie_370	FX802887.1
Paustralie_371	FX802886.1
Paustralie_372	FX802885.1
Paustralie_373	FX802884.1
Paustralie_374	FX802883.1
Paustralie_375	FX802882.1
Paustralie_376	FX802881.1
Paustralie_377	FX802880.1
Paustralie_378	FX802879.1
Paustralie_379	FX802878.1
Paustralie_380	FX802877.1
Paustralie_381	FX802876.1
Paustralie_382	FX802875.1
Paustralie_383	FX802874.1
Paustralie_384	FX802873.1
Paustralie_385	FX802872.1
Paustralie_386	FX802871.1
Paustralie_387	FX802870.1
Paustralie_388	FX802869.1
Paustralie_389	FX802868.1
Paustralie_390	FX802867.1
Paustralie_391	FX802866.1
Paustralie_392	FX802865.1
Paustralie_393	FX802864.1
Paustralie_394	FX802863.1
Paustralie_395	FX802862.1
Paustralie_396	FX802861.1
Paustralie_397	FX802860.1
Paustralie_398	FX802859.1
Paustralie_399	FX802858.1
Paustralie_400	FX802857.1
Paustralie_401	FX802856.1
Paustralie_402	FX802855.1
Paustralie_403	FX802854.1
Paustralie_404	FX802853.1
Paustralie_405	FX802852.1
Paustralie_406	FX802851.1
Paustralie_407	FX802850.1
Paustralie_408	FX802849.1
Paustralie_409	FX802848.1
Paustralie_410	FX802847.1
Paustralie_411	FX802846.1
Paustralie_412	FX802845.1
Paustralie_413	FX802844.1
Paustralie_414	FX802843.1
Paustralie_415	FX802842.1
Paustralie_416	FX802841.1
Paustralie_417	FX802840.1
Paustralie_418	FX802839.1
Paustralie_419	FX802838.1
Paustralie_420	FX802837.1
Paustralie_421	FX802836.1
Paustralie_422	FX802835.1
Paustralie_423	FX802834.1
Paustralie_424	FX802833.1
Paustralie_425	FX802832.1
Paustralie_426	FX802831.1
Paustralie_427	FX802830.1
Paustralie_428	FX802829.1
Paustralie_429	FX802828.1
Paustralie_430	FX802827.1
Paustralie_431	FX802826.1
Paustralie_432	FX802825.1
Paustralie_433	FX802824.1
Paustralie_434	FX802823.1
Paustralie_435	FX802822.1
Paustralie_436	FX802821.1
Paustralie_437	FX802820.1
Paustralie_438	FX802819.1
Paustralie_439	FX802818.1
Paustralie_440	FX802817.1
Paustralie_441	FX802816.1
Paustralie_442	FX802815.1
Paustralie_443	FX802814.1
Paustralie_444	FX802813.1
Paustralie_445	FX802812.1
Paustralie_446	FX802811.1
Paustralie_447	FX802810.1
Paustralie_448	FX802809.1
Paustralie_449	FX802808.1
Paustralie_450	FX802807.1
Paustralie_451	FX802806.1
Paustralie_452	FX802805.1
Paustralie_453	FX802804.1
Paustralie_454	FX802803.1
Paustralie_455	FX802802.1
Paustralie_456	FX802801.1
Paustralie_457	FX802800.1
Paustralie_458	FX802799.1
Paustralie_459	FX802798.1
Paustralie_460	FX802797.1
Paustralie_461	FX802796.1
Paustralie_462	FX802795.1
Paustralie_463	FX802794.1
Paustralie_464	FX802793.1
Paustralie_465	FX802792.1
Paustralie_466	FX802791.1
Paustralie_467	FX802790.1
Paustralie_468	FX802789.1
Paustralie_469	FX802788.1
Paustralie_470	FX802787.1
Paustralie_471	FX802786.1
Paustralie_472	FX802785.1
Paustralie_473	FX802784.1
Paustralie_474	FX802783.1
Paustralie_475	FX802782.1
Paustralie_476	FX802781.1
Paustralie_477	FX802780.1
Paustralie_478	FX802779.1
Paustralie_479	FX802778.1
Paustralie_480	FX802777.1
Paustralie_481	FX802776.1
Paustralie_482	FX802775.1
Paustralie_483	FX802774.1
Paustralie_484	FX802773.1
Paustralie_485	FX802772.1
Paustralie_486	FX802771.1
Paustralie_487	FX802770.1
Paustralie_488	FX802769.1
Paustralie_489	FX802768.1
Paustralie_490	FX802767.1
Paustralie_491	FX802766.1
Paustralie_492	FX802765.1
Paustralie_493	FX802764.1
Paustralie_494	FX802763.1
Paustralie_495	FX802762.1
Paustralie_496	FX802761.1
Paustralie_497	FX802760.1
Paustralie_498	FX802759.1
Paustralie_499	FX802758.1
Paustralie_500	FX802757.1
Paustralie_501	FX802756.1
Paustralie_502	FX802755.1
Paustralie_503	FX802754.1
Paustralie_504	FX802753.1
Paustralie_505	FX802752.1
Paustralie_506	FX802751.1
Paustralie_507	FX802750.1
Paustralie_508	FX802749.1
Paustralie_509	FX802748.1
Paustralie_510	FX802747.1
Paustralie_511	FX802746.1
Paustralie_512	FX802745.1
Paustralie_513	FX802744.1
Paustralie_514	FX802743.1
Paustralie_515	FX802742.1
Paustralie_516	FX802741.1
Paustralie_517	FX802740.1
Paustralie_518	FX802739.1
Paustralie_519	FX802738.1
Paustralie_520	FX802737.1
Paustralie_521	FX802736.1
Paustralie_522	FX802735.1
Paustralie_523	FX802734.1
Paustralie_524	FX802733.1
Paustralie_525	FX802732.1
Paustralie_526	FX802731.1
Paustralie_527	FX802730.1
Paustralie_528	FX802729.1
Paustralie_529	FX802728.1
Paustralie_530	FX802727.1
Paustralie_531	FX802726.1
